team,conf,adjem,adjo,adjd,luck
Duke,ACC,32.33,120.8,88.5,-.028
Connecticut,BE,28.30,117.8,89.5,.012
Saint Joseph's,A10,27.66,118.9,91.2,.060
Oklahoma St.,B12,27.37,118.5,91.1,.029
Pittsburgh,BE,25.91,114.1,88.2,-.028
Wisconsin,B10,25.74,116.0,90.3,-.001
Gonzaga,WCC,25.34,120.8,95.5,.013
Georgia Tech,ACC,24.69,113.5,88.8,.008
North Carolina St.,ACC,23.98,119.1,95.1,-.072
Kentucky,SEC,23.35,113.5,90.1,.031
North Carolina,ACC,23.23,117.4,94.1,-.091
Stanford,P10,22.52,111.9,89.3,.051
Illinois,B10,22.11,117.8,95.7,.055
Mississippi St.,SEC,21.74,114.7,92.9,.021
Wake Forest,ACC,21.69,121.6,99.9,-.019
Cincinnati,CUSA,21.56,116.1,94.5,.003
Texas,B12,21.54,115.6,94.1,.038
Kansas,B12,20.89,112.3,91.4,.017
Louisville,CUSA,20.44,107.1,86.6,-.079
Nevada,WAC,20.27,112.3,92.0,-.039
Xavier,A10,20.16,113.8,93.6,-.022
Maryland,ACC,19.81,110.9,91.1,-.009
Vanderbilt,SEC,18.64,113.6,95.0,-.002
Providence,BE,18.32,112.3,93.9,.003
Florida,SEC,18.26,116.9,98.6,-.023
Florida St.,ACC,17.48,109.0,91.5,-.090
Seton Hall,BE,17.35,112.3,95.0,-.004
Texas Tech,B12,17.11,111.4,94.3,.010
Alabama,SEC,16.50,114.7,98.2,.004
Syracuse,BE,16.34,113.1,96.7,.086
Western Michigan,MAC,16.29,114.3,98.0,.037
Arizona,P10,16.18,118.5,102.3,-.072
Memphis,CUSA,16.17,111.8,95.6,.012
Michigan St.,B10,15.66,117.2,101.5,-.014
BYU,MWC,15.64,113.0,97.4,.020
Air Force,MWC,15.42,111.4,96.0,.025
Boston College,BE,15.42,110.5,95.1,.045
Richmond,A10,15.07,105.9,90.9,-.060
South Carolina,SEC,15.02,109.7,94.7,-.000
Nebraska,B12,14.86,113.6,98.7,-.093
UTEP,WAC,14.69,112.5,97.8,.046
Southern Illinois,MVC,14.33,109.1,94.8,.046
Charlotte,CUSA,14.25,112.7,98.5,.015
Michigan,B10,14.14,107.4,93.3,.018
Utah,MWC,14.13,110.1,96.0,.064
UAB,CUSA,13.63,108.1,94.5,.019
Utah St.,BW,13.60,115.9,102.3,.037
Manhattan,MAAC,13.38,109.1,95.7,.012
Boise St.,WAC,13.13,109.6,96.5,.028
George Washington,A10,13.08,112.6,99.5,-.032
Missouri,B12,13.08,113.5,100.4,-.020
Notre Dame,BE,13.03,113.4,100.4,-.024
Villanova,BE,12.43,110.8,98.3,-.050
Colorado,B12,11.77,111.3,99.5,.034
Wichita St.,MVC,11.64,109.9,98.3,-.075
Oklahoma,B12,11.61,104.5,92.9,.059
Purdue,B10,11.60,104.6,93.0,-.066
DePaul,CUSA,11.36,113.0,101.6,.091
Saint Mary's,WCC,10.92,110.5,99.6,-.083
Washington,P10,10.78,113.1,102.3,.031
Murray St.,OVC,10.62,110.5,99.9,.064
Milwaukee,Horz,10.52,112.2,101.7,-.024
Illinois Chicago,Horz,10.39,107.5,97.1,.037
Iowa St.,B12,10.37,109.2,98.8,.064
Creighton,MVC,10.36,108.2,97.8,.006
Virginia,ACC,10.27,109.3,99.1,.100
Louisiana Lafayette,SB,10.23,109.2,99.0,.006
Auburn,SEC,10.16,106.3,96.1,-.097
Iowa,B10,10.10,106.7,96.6,-.015
LSU,SEC,10.04,107.0,96.9,.054
Rice,WAC,9.83,109.0,99.2,.070
Rutgers,BE,9.83,106.0,96.2,.046
Penn,Ivy,9.80,109.0,99.2,-.072
Dayton,A10,9.75,108.1,98.4,.084
Kent St.,MAC,9.68,106.9,97.2,.009
Georgia,SEC,9.54,108.1,98.5,.029
UNLV,MWC,9.35,110.3,100.9,-.009
Hawaii,WAC,9.27,109.8,100.6,.023
Oregon,P10,9.21,110.9,101.7,.026
Detroit,Horz,9.19,106.4,97.2,-.009
VCU,CAA,9.09,105.6,96.5,.076
Pacific,BW,8.93,108.6,99.7,.096
Kansas St.,B12,8.89,104.6,95.7,-.080
Northern Iowa,MVC,8.78,107.4,98.6,.022
East Tennessee St.,SC,8.60,104.4,95.8,.016
Rhode Island,A10,8.48,105.2,96.7,.003
Saint Louis,CUSA,8.21,103.5,95.3,.031
Troy St.,ASun,7.82,113.5,105.7,.017
Tennessee,SEC,7.30,108.5,101.2,.020
Temple,A10,7.23,109.8,102.5,.011
Fresno St.,WAC,7.09,106.7,99.6,-.066
Marquette,CUSA,7.03,111.7,104.6,.020
West Virginia,BE,6.81,107.0,100.2,.064
Indiana,B10,6.81,105.3,98.4,.053
Southwest Missouri St.,MVC,6.48,105.6,99.1,-.026
George Mason,CAA,6.24,103.0,96.8,.093
Arkansas,SEC,6.03,104.6,98.6,-.067
UCF,ASun,5.91,103.3,97.4,.087
Drexel,CAA,5.78,106.7,100.9,-.017
Northwestern,B10,5.65,106.7,101.1,.023
Old Dominion,CAA,5.57,104.6,99.0,-.019
California,P10,5.51,103.7,98.2,-.018
Austin Peay,OVC,5.49,100.1,94.6,.070
Niagara,MAAC,5.45,111.5,106.1,-.028
Belmont,ASun,5.22,106.0,100.8,-.047
Fairfield,MAAC,4.95,102.2,97.3,.025
Clemson,ACC,4.93,102.1,97.1,.022
Princeton,Ivy,4.86,106.3,101.4,.033
Buffalo,MAC,4.67,107.6,102.9,-.018
Miami FL,BE,4.60,107.4,102.8,-.104
San Diego St.,MWC,4.49,105.0,100.6,-.035
Toledo,MAC,4.36,109.0,104.7,.115
East Carolina,CUSA,4.35,104.7,100.4,-.101
Wyoming,MWC,4.34,104.7,100.3,-.123
New Mexico,MWC,4.19,110.3,106.1,-.058
College of Charleston,SC,3.92,105.5,101.6,.017
IUPUI,MCon,3.85,110.7,106.9,-.017
Western Kentucky,SB,3.80,111.2,107.4,-.056
Louisiana Tech,WAC,3.80,102.6,98.8,-.018
UNC Wilmington,CAA,3.66,98.7,95.0,-.064
UC Santa Barbara,BW,3.45,101.9,98.5,-.034
Miami OH,MAC,3.43,104.5,101.1,.085
Virginia Tech,BE,3.16,101.9,98.8,.052
Georgetown,BE,3.10,99.1,96.0,-.053
Eastern Washington,BSky,3.09,105.4,102.3,.014
Washington St.,P10,3.04,100.9,97.9,-.014
Boston University,AE,3.01,102.5,99.5,.115
Mississippi,SEC,2.99,102.7,99.7,.022
