team,conf,adjem,adjo,adjd,luck
North Carolina,ACC,32.77,122.5,89.7,.011
Illinois,B10,32.68,122.3,89.6,-.007
Duke,ACC,27.41,115.7,88.3,-.002
Louisville,CUSA,25.78,118.8,93.0,.045
Michigan St.,B10,25.67,119.7,94.0,-.013
Oklahoma St.,B12,25.02,121.2,96.2,-.015
Villanova,BE,25.02,114.7,89.7,-.054
Wake Forest,ACC,24.86,124.3,99.5,.046
Kentucky,SEC,24.10,113.0,88.9,.032
Florida,SEC,23.93,116.4,92.5,-.027
Kansas,B12,23.08,115.6,92.5,.008
Oklahoma,B12,22.55,114.4,91.8,-.006
Arizona,P10,22.22,116.7,94.5,.027
Washington,P10,22.18,120.6,98.4,.060
Connecticut,BE,21.94,112.1,90.2,-.031
Syracuse,BE,20.98,115.6,94.7,.002
Wisconsin,B10,20.81,112.0,91.2,.042
Alabama,SEC,20.51,118.8,98.3,.033
Cincinnati,CUSA,20.43,112.5,92.0,-.006
Utah,MWC,20.33,113.1,92.7,.032
Utah St.,BW,19.62,116.0,96.4,-.094
Georgia Tech,ACC,19.23,109.2,90.0,-.038
North Carolina St.,ACC,18.93,115.0,96.1,-.062
Pittsburgh,BE,18.41,114.8,96.3,-.057
Boston College,BE,18.30,114.3,96.0,.078
Gonzaga,WCC,17.88,119.3,101.4,.012
Iowa,B10,17.17,111.9,94.7,-.034
Texas,B12,17.01,114.1,97.1,-.051
Southern Illinois,MVC,16.75,109.1,92.4,.015
Ohio St.,B10,15.82,109.7,93.9,-.067
New Mexico,MWC,15.54,112.8,97.3,-.002
Texas Tech,B12,15.47,110.3,94.8,.037
Vanderbilt,SEC,15.31,111.0,95.7,-.053
Mississippi St.,SEC,15.25,109.3,94.0,.038
West Virginia,BE,15.00,114.1,99.1,.082
Milwaukee,Horz,14.69,110.1,95.4,.079
Maryland,ACC,14.62,109.3,94.7,-.034
George Washington,A10,14.41,109.9,95.5,-.013
Creighton,MVC,14.33,114.3,100.0,-.033
Pacific,BW,14.08,114.5,100.5,.091
Minnesota,B10,14.06,104.0,89.9,.016
LSU,SEC,13.80,113.9,100.1,.070
Vermont,AE,13.53,111.3,97.8,.032
Air Force,MWC,13.40,112.2,98.9,-.084
Northern Iowa,MVC,13.36,112.2,98.9,-.035
Texas A&M,B12,13.34,112.3,98.9,.007
Wichita St.,MVC,13.15,113.6,100.5,-.013
Iowa St.,B12,13.02,103.1,90.1,.003
Saint Joseph's,A10,13.01,106.9,93.9,.019
South Carolina,SEC,12.73,110.2,97.5,-.017
UAB,CUSA,12.51,109.2,96.7,-.001
Georgetown,BE,12.45,112.2,99.8,-.005
Memphis,CUSA,12.17,107.8,95.7,-.058
Charlotte,CUSA,12.15,111.6,99.5,.042
Nevada,WAC,12.11,104.0,91.8,.045
Arkansas,SEC,11.98,106.2,94.2,-.063
Clemson,ACC,11.92,105.6,93.7,-.052
UTEP,WAC,11.62,112.7,101.1,.015
Notre Dame,BE,11.54,109.9,98.3,-.041
Southwest Missouri St.,MVC,11.42,108.2,96.8,-.044
Providence,BE,11.36,111.2,99.8,-.092
