team,conf,adjem,adjo,adjd,luck
Duke,ACC,34.19,121.0,86.8,-.027
Cincinnati,CUSA,30.19,118.1,87.9,.002
Maryland,ACC,29.25,119.2,89.9,.025
Kansas,B12,28.99,118.7,89.7,.022
Oklahoma,B12,26.04,114.9,88.9,.043
Indiana,B10,24.80,114.0,89.2,-.049
Florida,SEC,24.72,115.1,90.4,-.073
Illinois,B10,23.21,115.7,92.5,.016
Oregon,P10,22.97,119.2,96.3,-.041
Kentucky,SEC,22.21,113.4,91.2,-.029
Marquette,CUSA,21.47,113.4,91.9,.006
USC,P10,20.67,112.8,92.1,-.051
Arizona,P10,20.54,119.3,98.8,.079
Kent St.,MAC,20.39,116.7,96.4,.008
Stanford,P10,20.32,116.6,96.3,-.020
Pittsburgh,BE,19.94,112.1,92.2,.000
Ohio St.,B10,19.76,116.4,96.6,.005
Connecticut,BE,19.36,112.2,92.8,.063
Notre Dame,BE,19.27,116.1,96.8,-.087
South Carolina,SEC,19.18,107.0,87.9,-.074
North Carolina St.,ACC,19.15,113.2,94.0,.012
Alabama,SEC,18.73,114.0,95.3,.076
Xavier,A10,18.60,111.2,92.6,.051
Gonzaga,WCC,18.51,115.6,97.1,.049
Georgia,SEC,18.44,116.7,98.3,-.021
Mississippi St.,SEC,18.25,111.4,93.1,.107
Texas,B12,17.69,116.0,98.3,-.021
Butler,Horz,17.63,111.9,94.3,-.051
Missouri,B12,17.49,116.2,98.7,-.010
Wake Forest,ACC,17.35,118.6,101.3,.006
Texas Tech,B12,17.24,114.6,97.4,.061
Michigan St.,B10,16.86,113.0,96.2,-.026
Memphis,CUSA,16.69,112.5,95.8,-.008
Mississippi,SEC,16.68,113.3,96.7,-.040
UCLA,P10,16.34,113.7,97.3,.048
Georgetown,BE,16.13,110.6,94.5,-.094
California,P10,16.03,109.8,93.7,.088
Oklahoma St.,B12,15.80,107.9,92.1,.047
Miami FL,BE,15.77,110.5,94.7,.017
Charlotte,CUSA,15.73,114.2,98.5,-.008
Tulsa,WAC,15.59,116.0,100.4,.001
Dayton,A10,15.53,112.9,97.4,-.042
Minnesota,B10,14.54,113.5,99.0,-.045
Western Kentucky,SB,14.51,110.5,96.0,.060
Utah,MWC,14.08,111.4,97.3,.010
Iowa,B10,13.66,110.4,96.8,-.060
Valparaiso,MCon,13.63,111.5,97.8,-.032
Temple,A10,13.57,114.0,100.4,-.038
Southern Illinois,MVC,13.45,109.2,95.7,.034
Wisconsin,B10,13.22,110.7,97.5,.049
Hawaii,WAC,13.15,110.3,97.2,.007
Villanova,BE,13.14,106.7,93.5,-.055
Virginia,ACC,12.92,112.0,99.1,-.017
Tennessee,SEC,12.67,110.9,98.2,-.044
Ball St.,MAC,12.66,113.3,100.6,.012
Syracuse,BE,12.61,106.1,93.5,-.005
Arkansas,SEC,12.56,108.8,96.2,-.062
Penn,Ivy,12.23,110.2,98.0,-.019
Creighton,MVC,11.82,111.3,99.5,.029
Bowling Green,MAC,11.76,111.3,99.6,.021
Louisville,CUSA,11.74,108.1,96.4,.008
Pepperdine,WCC,11.72,111.1,99.3,.061
BYU,MWC,11.55,109.2,97.7,-.045
Louisiana Tech,WAC,11.43,110.0,98.6,.002
UNC Wilmington,CAA,11.32,107.4,96.1,-.003
LSU,SEC,11.10,105.4,94.3,-.048
Wyoming,MWC,11.01,107.8,96.7,.032
Saint Joseph's,A10,10.81,114.4,103.6,-.009
Arizona St.,P10,10.54,108.6,98.1,-.090
Georgia Tech,ACC,10.50,111.1,100.6,-.022
Boston College,BE,9.97,109.4,99.4,.040
Tennessee Tech,OVC,9.44,109.9,100.4,.003
South Florida,CUSA,9.43,107.9,98.4,.018
San Diego St.,MWC,9.29,106.9,97.6,.055
Utah St.,BW,9.17,106.3,97.2,-.025
St. John's,BE,9.06,102.7,93.6,.089
UC Santa Barbara,BW,8.87,108.2,99.3,-.058
St. Bonaventure,A10,8.59,116.1,107.5,-.030
College of Charleston,SC,8.41,105.0,96.6,-.041
Richmond,A10,8.31,104.1,95.8,.069
UNLV,MWC,8.26,109.7,101.5,.068
Fresno St.,WAC,7.82,104.4,96.5,-.025
