team,conf,adjem,adjo,adjd,luck
Louisville,Amer,30.41,118.9,88.5,-.045
Arizona,P12,30.11,116.5,86.4,.014
Florida,SEC,28.57,116.5,88.0,.053
Virginia,ACC,26.46,114.8,88.3,.012
Wisconsin,B10,25.89,122.0,96.1,.019
Wichita St.,MVC,25.36,117.8,92.4,-.009
Kansas,B12,24.60,119.3,94.7,-.051
Duke,ACC,24.25,124.7,100.4,-.035
Michigan St.,B10,23.92,118.6,94.7,-.003
Tennessee,SEC,23.69,117.9,94.2,-.099
Villanova,BE,23.68,116.3,92.6,.075
Michigan,B10,23.44,123.9,100.5,.047
Kentucky,SEC,22.55,118.3,95.8,-.025
UCLA,P12,22.53,118.7,96.1,-.019
Connecticut,Amer,22.13,113.6,91.5,.080
Pittsburgh,ACC,21.89,116.9,95.0,-.038
Creighton,BE,21.72,124.2,102.5,.024
Syracuse,ACC,21.62,114.6,93.0,.016
Ohio St.,B10,21.30,109.3,88.0,-.043
Iowa St.,B12,21.07,118.9,97.8,.064
Oklahoma St.,B12,20.98,115.9,95.0,-.110
Iowa,B10,20.44,120.2,99.8,-.116
San Diego St.,MWC,20.38,110.4,90.0,.067
Gonzaga,WCC,20.14,114.0,93.8,.016
VCU,A10,19.80,109.2,89.4,-.058
Baylor,B12,19.39,118.9,99.5,.012
Cincinnati,Amer,19.24,109.7,90.4,.036
Oregon,P12,19.02,118.9,99.9,-.037
North Carolina,ACC,18.44,112.6,94.2,.000
Oklahoma,B12,17.90,117.9,100.0,-.022
SMU,Amer,17.66,111.3,93.7,-.043
Harvard,Ivy,17.58,112.9,95.3,.020
New Mexico,MWC,17.15,113.5,96.3,.032
Stanford,P12,16.06,112.4,96.4,.016
Saint Louis,A10,15.72,105.7,90.0,.040
Memphis,Amer,15.22,112.4,97.1,.048
Louisiana Tech,CUSA,15.10,110.4,95.3,.002
Florida St.,ACC,14.86,112.2,97.4,-.005
Arizona St.,P12,14.82,111.2,96.4,.003
Utah,P12,14.81,110.7,95.9,-.052
Texas,B12,14.52,111.8,97.3,.092
Dayton,A10,14.25,113.8,99.6,.038
Maryland,ACC,14.20,109.4,95.2,-.074
Arkansas,SEC,14.14,111.1,96.9,-.033
Kansas St.,B12,14.10,107.8,93.7,.001
Minnesota,B10,13.93,113.8,99.9,.044
George Washington,A10,13.82,110.8,97.0,.056
Providence,BE,13.81,114.6,100.8,.051
BYU,WCC,13.77,114.5,100.7,-.004
Massachusetts,A10,13.46,110.0,96.5,.065
Clemson,ACC,13.35,107.1,93.7,.008
Xavier,BE,13.11,112.9,99.8,.017
Illinois,B10,13.10,106.5,93.4,.007
St. John's,BE,13.10,108.5,95.4,-.046
Saint Joseph's,A10,12.93,112.3,99.4,.079
Nebraska,B10,12.64,108.8,96.1,.047
Georgetown,BE,12.39,113.0,100.6,-.023
West Virginia,B12,12.29,115.5,103.2,-.066
LSU,SEC,12.12,110.7,98.5,-.010
California,P12,12.00,111.7,99.7,.016
North Dakota St.,Sum,11.76,115.5,103.7,.089
North Carolina St.,ACC,11.60,114.0,102.4,.065
Indiana,B10,11.55,107.8,96.2,-.069
Southern Miss,CUSA,11.51,110.9,99.4,.103
Saint Mary's,WCC,11.39,112.6,101.2,.013
Georgia St.,SB,11.28,115.6,104.3,-.025
Colorado,P12,11.20,107.7,96.5,.120
Marquette,BE,11.05,109.7,98.6,-.051
Missouri,SEC,10.84,114.1,103.2,.062
Stephen F. Austin,Slnd,10.83,112.3,101.5,.073
Green Bay,Horz,10.77,108.7,98.0,.037
New Mexico St.,WAC,10.54,112.9,102.4,-.030
Boise St.,MWC,10.53,114.6,104.1,-.056
Manhattan,MAAC,10.21,107.2,97.0,-.008
Vermont,AE,10.16,109.9,99.7,-.064
Iona,MAAC,10.14,118.6,108.5,-.024
Miami FL,ACC,9.88,109.2,99.3,-.045
Georgia,SEC,9.40,109.0,99.6,.033
UNLV,MWC,9.15,108.2,99.0,-.048
Texas Tech,B12,9.01,111.4,102.4,-.053
Penn St.,B10,9.00,110.3,101.3,-.049
Tulsa,CUSA,8.93,106.1,97.2,-.023
Mississippi,SEC,8.87,111.2,102.3,-.006
St. Bonaventure,A10,8.75,111.2,102.4,-.066
Cleveland St.,Horz,8.67,110.6,102.0,-.052
Alabama,SEC,8.54,107.8,99.2,-.091
Mercer,ASun,8.34,110.8,102.4,.022
San Francisco,WCC,8.26,112.5,104.3,.051
Middle Tennessee,CUSA,8.24,105.3,97.0,.047
UC Irvine,BW,8.16,103.9,95.7,-.020
Richmond,A10,7.99,105.3,97.3,.026
North Carolina Central,MEAC,7.98,108.6,100.7,.040
Purdue,B10,7.89,108.4,100.5,-.040
Seton Hall,BE,7.86,108.8,100.9,-.060
Northern Iowa,MVC,7.86,113.0,105.1,-.080
Notre Dame,ACC,7.70,113.5,105.8,-.063
Belmont,OVC,7.10,113.9,106.8,.058
Washington,P12,6.78,111.8,105.0,.037
Butler,BE,6.74,106.0,99.3,-.056
Princeton,Ivy,6.46,106.4,99.9,.014
Buffalo,MAC,6.36,109.7,103.4,-.033
UC Santa Barbara,BW,6.25,110.6,104.4,.056
UTEP,CUSA,6.02,105.3,99.3,.015
Toledo,MAC,5.97,115.0,109.1,.111
La Salle,A10,5.88,106.3,100.4,.002
Delaware,CAA,5.83,112.0,106.2,.064
Oregon St.,P12,5.81,112.5,106.7,.005
Indiana St.,MVC,5.61,106.8,101.2,.082
Vanderbilt,SEC,5.49,104.1,98.6,.019
Texas A&M,SEC,5.41,101.4,95.9,-.013
Portland,WCC,5.40,109.2,103.8,-.110
South Carolina,SEC,5.30,107.5,102.2,-.052
Louisiana Lafayette,SB,5.19,110.2,105.0,.038
Georgia Tech,ACC,5.17,104.8,99.6,-.002
Rhode Island,A10,5.06,104.4,99.3,-.067
Fresno St.,MWC,5.05,110.2,105.2,.013
Wake Forest,ACC,4.99,106.6,101.6,.059
Wyoming,MWC,4.99,105.5,100.5,-.053
Columbia,Ivy,4.67,107.6,103.0,-.013
American,Pat,4.57,103.4,98.9,.007
Utah St.,MWC,4.48,109.8,105.3,.009
Auburn,SEC,4.39,109.8,105.4,-.025
Davidson,SC,4.18,113.3,109.1,-.013
Canisius,MAAC,4.14,112.5,108.3,.022
Eastern Kentucky,OVC,3.96,112.4,108.4,.036
Boston University,Pat,3.82,106.3,102.5,.077
Ohio,MAC,3.76,106.5,102.7,.035
Colorado St.,MWC,3.51,110.5,107.0,-.073
Drexel,CAA,3.47,105.2,101.8,-.032
Towson,CAA,3.45,110.6,107.2,.080
Western Michigan,MAC,3.36,106.3,103.0,.098
Houston,Amer,3.35,111.1,107.7,.057
Wright St.,Horz,3.35,100.4,97.1,-.062
Northwestern,B10,3.33,98.3,94.9,.033
Murray St.,OVC,3.23,109.0,105.8,.032
Eastern Michigan,MAC,3.17,98.5,95.3,.019
Hawaii,BW,3.03,111.0,108.0,-.045
San Diego,WCC,2.98,105.4,102.5,-.020
Denver,Sum,2.86,110.6,107.7,-.030
South Dakota St.,Sum,2.77,107.0,104.2,-.003
George Mason,A10,2.67,105.8,103.2,-.036
Boston College,ACC,2.44,114.3,111.8,-.073
Nevada,MWC,2.21,109.5,107.3,.027
Long Beach St.,BW,2.17,104.9,102.7,-.023
Akron,MAC,2.10,105.0,102.9,.073
IPFW,Sum,2.08,110.1,108.0,.062
Illinois St.,MVC,1.98,101.9,99.9,.029
Pacific,WCC,1.98,109.5,107.5,.057
Quinnipiac,MAAC,1.89,111.3,109.4,.055
Temple,Amer,1.68,110.7,109.1,-.078
USC,P12,1.53,103.5,102.0,-.014
Duquesne,A10,1.53,110.6,109.0,-.053
Yale,Ivy,1.29,102.8,101.5,.080
Santa Clara,WCC,1.18,107.3,106.1,-.043
UCF,Amer,1.05,107.1,106.1,-.047
UAB,CUSA,1.02,104.1,103.1,-.009
Missouri St.,MVC,1.01,106.5,105.5,.114
Holy Cross,Pat,0.98,104.5,103.5,.027
Pepperdine,WCC,0.93,107.8,106.9,.025
Bucknell,Pat,0.91,103.0,102.1,-.042
Arkansas St.,SB,0.59,106.6,106.0,.003
Brown,Ivy,0.59,101.1,100.5,-.118
Valparaiso,Horz,0.50,104.2,103.7,-.028
Siena,MAAC,0.33,101.6,101.3,.041
Southern Illinois,MVC,0.17,106.1,106.0,-.061
William & Mary,CAA,0.12,112.6,112.4,.095
USC Upstate,ASun,0.10,105.0,104.9,-.059
Milwaukee,Horz,0.08,104.7,104.6,.119
Stony Brook,AE,0.00,105.4,105.4,.015
Rutgers,Amer,-0.37,106.5,106.9,-.012
Charlotte,CUSA,-0.54,102.7,103.2,.046
Weber St.,BSky,-0.62,106.4,107.0,-.009
Robert Morris,NEC,-0.65,105.8,106.5,.093
Virginia Tech,ACC,-0.68,100.1,100.8,-.080
Old Dominion,CUSA,-0.72,100.7,101.4,.005
Cal Poly,BW,-0.82,103.6,104.4,-.044
Nebraska Omaha,Sum,-0.86,104.5,105.4,-.053
Loyola Marymount,WCC,-0.94,105.7,106.6,.048
Western Kentucky,SB,-0.97,101.1,102.1,.113
Morehead St.,OVC,-1.02,102.9,103.9,.038
Albany,AE,-1.04,102.9,103.9,.002
Florida Gulf Coast,ASun,-1.08,100.0,101.1,.011
DePaul,BE,-1.19,106.1,107.3,.032
Colgate,Pat,-1.28,108.5,109.7,-.149
Northwestern St.,Slnd,-1.31,108.6,109.9,-.019
Youngstown St.,Horz,-1.33,107.9,109.3,-.053
Drake,MVC,-1.46,105.0,106.5,.024
Oral Roberts,Slnd,-1.53,108.0,109.6,-.058
Wagner,NEC,-1.70,98.6,100.3,.016
Washington St.,P12,-1.84,101.7,103.6,-.042
South Florida,Amer,-1.90,102.4,104.3,.018
Wofford,SC,-1.94,100.6,102.6,.025
Kent St.,MAC,-2.11,104.1,106.2,-.022
Oakland,Horz,-2.16,109.9,112.0,.025
Detroit,Horz,-2.23,101.4,103.6,-.048
Bryant,NEC,-2.54,106.0,108.5,.029
Sam Houston St.,Slnd,-2.57,105.8,108.4,.073
Southern,SWAC,-2.58,97.6,100.2,-.035
St. Francis NY,NEC,-2.65,98.9,101.5,.006
College of Charleston,CAA,-2.83,98.1,100.9,-.067
Fordham,A10,-2.86,108.8,111.7,-.035
Elon,SC,-2.95,104.6,107.5,.033
Northeastern,CAA,-3.16,101.4,104.5,-.047
Utah Valley,WAC,-3.19,102.8,106.0,.121
Mississippi St.,SEC,-3.35,100.3,103.6,.032
Marist,MAAC,-3.87,101.6,105.5,-.021
Bowling Green,MAC,-3.90,93.0,96.9,-.028
Northern Illinois,MAC,-3.94,94.4,98.3,.019
Mount St. Mary's,NEC,-3.96,107.8,111.7,.031
VMI,BSth,-3.97,108.3,112.2,.061
Evansville,MVC,-4.19,103.1,107.3,.007
TCU,B12,-4.34,99.4,103.7,.007
Hampton,MEAC,-4.38,96.4,100.8,-.000
Bradley,MVC,-4.38,100.2,104.6,-.050
UT Arlington,SB,-4.42,105.9,110.3,.059
Montana,BSky,-4.45,107.4,111.9,.002
Rider,MAAC,-4.52,106.9,111.4,.041
Miami OH,MAC,-4.63,98.9,103.5,.076
Arkansas Little Rock,SB,-4.70,101.1,105.8,.060
Charleston Southern,BSth,-4.88,106.1,111.0,-.182
Coastal Carolina,BSth,-4.98,98.2,103.2,.040
Dartmouth,Ivy,-4.99,103.6,108.6,-.079
Cal St. Northridge,BW,-5.10,106.3,111.4,.029
Morgan St.,MEAC,-5.11,100.4,105.5,.005
Cal St. Bakersfield,WAC,-5.12,100.8,105.9,-.088
Southeast Missouri St.,OVC,-5.22,108.4,113.7,-.013
Northern Colorado,BSky,-5.30,108.8,114.1,-.017
Army,Pat,-5.31,105.1,110.4,.016
Winthrop,BSth,-5.41,103.2,108.6,.060
Texas A&M Corpus Chris,Slnd,-5.47,105.2,110.6,.016
FIU,CUSA,-5.48,101.4,106.9,.054
North Texas,CUSA,-5.56,99.4,104.9,.047
Eastern Washington,BSky,-5.56,105.7,111.3,-.028
Hartford,AE,-5.62,102.2,107.8,.028
UNC Asheville,BSth,-5.75,106.7,112.5,.026
Marshall,CUSA,-5.82,99.9,105.7,-.109
Western Carolina,SC,-5.82,103.7,109.5,.028
Saint Peter's,MAAC,-5.86,98.1,103.9,.059
East Carolina,CUSA,-5.88,106.0,111.8,.008
Seattle,WAC,-5.95,100.4,106.3,-.065
Grand Canyon,WAC,-6.04,105.3,111.3,.046
Lehigh,Pat,-6.06,98.0,104.1,.031
East Tennessee St.,ASun,-6.16,103.5,109.6,.018
Florida Atlantic,CUSA,-6.40,101.1,107.5,-.085
Lafayette,Pat,-6.43,109.3,115.7,-.051
Loyola Chicago,MVC,-6.47,102.2,108.7,-.073
Gardner Webb,BSth,-6.59,99.0,105.6,.005
High Point,BSth,-6.63,106.0,112.6,.061
Cal St. Fullerton,BW,-6.64,100.9,107.5,-.021
Troy,SB,-6.82,101.9,108.8,-.085
Louisiana Monroe,SB,-7.00,97.5,104.5,-.012
Air Force,MWC,-7.00,99.6,106.6,.056
South Alabama,SB,-7.06,101.1,108.1,-.047
Idaho,WAC,-7.12,105.4,112.5,.078
South Dakota,Sum,-7.13,101.7,108.9,.024
Radford,BSth,-7.36,106.9,114.3,.084
Penn,Ivy,-7.46,99.1,106.6,-.013
Norfolk St.,MEAC,-7.48,102.9,110.3,.042
Texas Southern,SWAC,-7.49,106.7,114.1,-.004
Idaho St.,BSky,-7.58,104.0,111.6,-.091
Incarnate Word,Slnd,-7.59,102.7,110.3,.015
Northern Arizona,BSky,-7.72,100.4,108.1,.003
North Florida,ASun,-7.75,103.3,111.1,.089
North Dakota,BSky,-7.79,104.3,112.1,.063
Lipscomb,ASun,-8.04,103.4,111.5,.086
Hofstra,CAA,-8.14,105.1,113.2,-.036
James Madison,CAA,-8.25,98.5,106.8,.048
Tennessee Tech,OVC,-8.28,100.2,108.5,.092
Monmouth,MAAC,-8.45,96.8,105.3,-.033
Niagara,MAAC,-8.75,101.9,110.7,-.025
Fairfield,MAAC,-8.84,95.6,104.5,-.019
UMKC,WAC,-8.94,98.4,107.4,.017
UC Riverside,BW,-9.00,98.7,107.7,-.049
Western Illinois,Sum,-9.06,94.1,103.2,-.068
Illinois Chicago,Horz,-9.07,100.4,109.5,-.113
Sacramento St.,BSky,-9.33,103.4,112.8,-.008
Texas St.,SB,-9.41,94.9,104.3,-.114
Portland St.,BSky,-9.47,102.3,111.7,.063
Chattanooga,SC,-9.48,100.6,110.1,.054
UNC Wilmington,CAA,-9.67,96.0,105.7,-.043
Savannah St.,MEAC,-9.93,91.7,101.6,-.038
Fairleigh Dickinson,NEC,-10.57,102.2,112.8,-.017
Liberty,BSth,-11.25,101.3,112.6,-.129
Chicago St.,WAC,-11.26,98.1,109.4,.069
Tulane,CUSA,-11.41,99.7,111.1,.143
Central Michigan,MAC,-11.43,106.3,117.7,.004
