team,conf,adjem,adjo,adjd,luck
Kentucky,SEC,32.59,122.2,89.6,.032
Ohio St.,B10,30.07,118.1,88.1,-.050
Michigan St.,B10,27.87,114.7,86.9,-.027
Kansas,B12,26.91,114.0,87.1,.027
Syracuse,BE,26.04,117.7,91.7,.060
North Carolina,ACC,25.44,116.1,90.7,.016
Missouri,B12,25.28,125.1,99.8,.017
Wisconsin,B10,24.09,113.7,89.6,-.018
Indiana,B10,22.55,120.2,97.6,.007
Florida,SEC,22.47,120.4,98.0,-.043
Wichita St.,MVC,22.36,116.1,93.8,-.017
Memphis,CUSA,21.90,114.2,92.3,-.064
Baylor,B12,21.29,116.0,94.7,.059
Saint Louis,A10,21.20,111.9,90.7,-.056
Georgetown,BE,21.05,111.2,90.1,-.014
Vanderbilt,SEC,20.90,115.6,94.7,-.048
Louisville,BE,20.67,106.2,85.5,.031
Marquette,BE,20.22,111.5,91.3,.042
Duke,ACC,19.70,117.7,98.0,.057
New Mexico,MWC,19.45,110.8,91.4,.003
Gonzaga,WCC,18.39,113.1,94.7,-.018
Michigan,B10,17.52,114.3,96.8,.058
Kansas St.,B12,17.52,109.8,92.3,-.024
Florida St.,ACC,17.14,107.6,90.4,.034
Belmont,ASun,16.96,117.1,100.1,-.017
Iowa St.,B12,16.69,113.9,97.2,-.004
Alabama,SEC,16.69,106.1,89.5,-.067
Creighton,MVC,16.47,119.2,102.7,.079
California,P12,16.37,111.3,94.9,-.007
Purdue,B10,16.25,116.2,99.9,-.003
Cincinnati,BE,16.03,109.5,93.5,.023
Texas,B12,15.90,112.9,97.0,-.065
Virginia,ACC,15.85,105.2,89.3,-.024
Saint Mary's,WCC,15.48,114.3,98.8,.036
Murray St.,OVC,15.34,108.5,93.2,.031
Long Beach St.,BW,15.27,111.7,96.4,-.047
UNLV,MWC,14.97,109.2,94.2,.006
Connecticut,BE,14.53,111.3,96.8,-.032
Temple,A10,14.49,113.3,98.9,.055
Stanford,P12,14.36,106.7,92.4,-.017
Harvard,Ivy,14.34,108.8,94.4,.027
Notre Dame,BE,14.22,110.9,96.7,.032
North Carolina St.,ACC,14.22,112.1,97.9,-.004
West Virginia,BE,13.56,111.4,97.9,-.019
Drexel,CAA,13.53,109.9,96.4,.024
VCU,CAA,13.45,106.9,93.5,.024
Miami FL,ACC,13.18,111.0,97.9,-.038
South Florida,BE,13.13,103.9,90.8,.040
Middle Tennessee,SB,12.92,108.5,95.6,-.003
BYU,WCC,12.79,106.3,93.5,.020
Arizona,P12,12.77,107.6,94.9,-.051
Minnesota,B10,12.77,108.5,95.8,.018
Xavier,A10,12.59,108.7,96.1,.031
Iona,MAAC,12.26,115.5,103.2,-.011
Seton Hall,BE,12.19,106.7,94.6,.001
Washington,P12,11.97,109.5,97.5,.025
Ohio,MAC,11.88,106.6,94.7,.022
UCLA,P12,11.85,108.8,96.9,-.074
Oregon,P12,11.81,114.2,102.4,.039
St. Bonaventure,A10,11.78,110.6,98.9,-.024
