team,conf,adjem,adjo,adjd,luck
Villanova,BE,33.76,127.8,94.0,-.018
Virginia,ACC,29.53,115.2,85.6,.048
Duke,ACC,28.86,122.4,93.6,-.034
Cincinnati,Amer,26.60,113.4,86.8,-.019
Purdue,B10,26.27,122.7,96.4,.006
Michigan St.,B10,25.41,119.2,93.8,.038
Michigan,B10,24.20,114.7,90.5,.052
North Carolina,ACC,23.59,120.3,96.7,-.011
Kansas,B12,23.49,120.9,97.4,.076
Gonzaga,WCC,23.03,118.1,95.1,.009
Texas Tech,B12,22.59,113.3,90.8,-.007
West Virginia,B12,22.44,119.4,96.9,-.014
Tennessee,SEC,22.27,114.6,92.4,.019
Clemson,ACC,21.65,114.2,92.6,-.009
Xavier,BE,21.51,120.1,98.6,.091
Ohio St.,B10,21.16,116.0,94.9,.020
Kentucky,SEC,20.44,115.8,95.4,-.008
Houston,Amer,20.24,114.6,94.4,-.015
Penn St.,B10,19.18,114.3,95.1,-.050
Butler,BE,19.05,116.2,97.2,-.047
Wichita St.,Amer,19.03,121.0,101.9,-.026
Florida,SEC,18.96,114.5,95.5,-.059
Auburn,SEC,18.69,115.4,96.7,.034
TCU,B12,18.47,119.7,101.2,-.067
Nevada,MWC,18.39,120.2,101.8,-.026
Seton Hall,BE,18.04,116.9,98.8,-.028
Florida St.,ACC,17.77,114.3,96.5,-.029
Arizona,P12,17.70,118.0,100.4,.036
Texas A&M,SEC,16.96,111.3,94.4,.014
Creighton,BE,16.91,115.5,98.6,-.028
Loyola Chicago,MVC,16.39,111.4,95.0,.077
Saint Mary's,WCC,16.13,119.4,103.2,.006
Virginia Tech,ACC,16.03,115.3,99.3,-.018
Baylor,B12,16.02,111.5,95.5,-.079
Notre Dame,ACC,15.79,114.9,99.1,-.058
Texas,B12,15.43,109.5,94.1,-.030
Miami FL,ACC,15.43,112.9,97.4,.017
Louisville,ACC,15.41,112.2,96.8,-.005
Maryland,B10,15.03,114.1,99.1,-.046
Missouri,SEC,14.83,111.9,97.0,-.025
Syracuse,ACC,14.82,107.0,92.2,.021
Kansas St.,B12,14.77,110.1,95.3,.071
Davidson,A10,14.70,117.0,102.3,-.063
Arkansas,SEC,14.69,116.3,101.7,.059
Middle Tennessee,CUSA,14.68,111.3,96.6,.008
North Carolina St.,ACC,14.52,116.3,101.8,-.001
Western Kentucky,CUSA,14.45,114.5,100.1,-.003
Oklahoma,B12,14.16,114.6,100.5,-.008
Arizona St.,P12,14.13,116.7,102.6,-.083
San Diego St.,MWC,14.09,110.5,96.4,-.032
USC,P12,14.06,114.5,100.5,-.017
Rhode Island,A10,13.93,111.1,97.2,.063
Marquette,BE,13.68,119.2,105.6,.020
Mississippi St.,SEC,13.61,110.5,96.9,.042
Nebraska,B10,13.54,110.6,97.1,.055
UCLA,P12,13.52,115.0,101.4,-.027
Alabama,SEC,13.41,108.7,95.2,.017
Utah,P12,12.99,111.8,98.9,.031
Oklahoma St.,B12,12.93,111.6,98.6,-.001
New Mexico St.,WAC,12.92,107.9,95.0,.027
Boise St.,MWC,12.90,109.9,97.0,-.006
Murray St.,OVC,12.19,112.9,100.7,-.000
Providence,BE,12.17,108.9,96.7,.074
Old Dominion,CUSA,12.14,108.8,96.6,.041
Georgia,SEC,11.64,107.5,95.9,.010
LSU,SEC,11.62,114.8,103.2,-.018
Buffalo,MAC,11.53,114.7,103.2,.006
St. Bonaventure,A10,11.21,110.8,99.5,.078
Louisiana Lafayette,SB,11.14,112.7,101.5,.033
Wisconsin,B10,10.68,109.7,99.1,-.068
Indiana,B10,10.44,109.4,99.0,-.025
Montana,BSky,10.40,108.8,98.4,-.000
BYU,WCC,10.32,108.3,98.0,.006
St. John's,BE,10.31,106.5,96.2,-.016
Oregon,P12,10.24,111.1,100.9,.004
Vermont,AE,10.22,113.8,103.5,-.009
Boston College,ACC,10.21,113.1,102.9,.004
South Dakota St.,Sum,10.20,113.8,103.6,.097
Fresno St.,MWC,10.07,109.7,99.6,-.057
South Carolina,SEC,9.91,105.6,95.7,.003
South Dakota,Sum,9.85,109.0,99.2,-.048
UNC Greensboro,SC,9.22,104.9,95.7,-.024
