team,conf,adjem,adjo,adjd,luck
Virginia,ACC,35.66,123.6,87.9,.024
Gonzaga,WCC,32.79,125.1,92.3,.008
Duke,ACC,31.99,120.1,88.1,.018
Michigan St.,B10,31.36,121.7,90.4,-.007
Michigan,B10,29.44,115.5,86.1,-.014
North Carolina,ACC,29.17,119.9,90.7,.024
Kentucky,SEC,27.41,118.2,90.8,.037
Tennessee,SEC,26.98,122.5,95.5,.038
Texas Tech,B12,26.75,112.7,85.9,.004
Purdue,B10,26.05,121.1,95.0,-.012
Virginia Tech,ACC,24.47,118.4,94.0,.002
Wisconsin,B10,23.68,110.8,87.1,-.026
Auburn,SEC,23.33,119.6,96.2,.003
Florida St.,ACC,22.56,113.0,90.4,.045
Houston,Amer,22.42,114.1,91.7,.057
Iowa St.,B12,21.85,119.0,97.1,-.051
Louisville,ACC,20.97,113.4,92.4,-.054
LSU,SEC,20.97,118.5,97.5,.035
Wofford,SC,20.71,118.4,97.6,.060
Kansas,B12,20.71,112.7,92.0,.088
Mississippi St.,SEC,20.68,117.4,96.7,-.027
Buffalo,MAC,20.34,114.9,94.6,.041
Kansas St.,B12,20.22,108.0,87.7,.061
Maryland,B10,19.98,113.8,93.8,.001
Nevada,MWC,18.92,114.0,95.1,.039
Villanova,BE,18.77,117.0,98.2,.017
Marquette,BE,18.42,114.2,95.7,.007
Florida,SEC,18.32,110.2,91.9,-.072
Clemson,ACC,17.94,108.7,90.7,-.069
Texas,B12,17.89,114.1,96.2,-.117
Saint Mary's,WCC,17.71,114.6,96.9,-.033
Cincinnati,Amer,17.05,111.6,94.5,.060
North Carolina St.,ACC,16.70,112.7,96.0,-.009
Utah St.,MWC,16.62,113.0,96.3,.007
Syracuse,ACC,16.30,110.2,93.9,.005
Iowa,B10,15.96,117.2,101.2,.057
VCU,A10,15.69,104.3,88.6,.004
Oklahoma,B12,15.53,109.4,93.9,.031
Nebraska,B10,15.53,112.6,97.0,-.055
Penn St.,B10,15.42,109.5,94.1,-.102
Baylor,B12,15.29,113.5,98.2,-.032
Indiana,B10,15.28,110.1,94.8,-.044
Oregon,P12,15.15,107.7,92.5,-.039
Mississippi,SEC,15.08,112.8,97.7,-.018
Ohio St.,B10,15.08,109.3,94.2,.005
UCF,Amer,14.58,110.3,95.7,.029
Minnesota,B10,14.46,110.7,96.2,.082
TCU,B12,14.17,110.4,96.2,.014
New Mexico St.,WAC,13.59,112.6,99.0,.061
