team,conf,adjem,adjo,adjd,luck
North Carolina,ACC,31.14,123.2,92.1,-.011
Connecticut,BE,29.25,116.0,86.8,.024
Pittsburgh,BE,28.96,121.2,92.3,-.012
Memphis,CUSA,28.67,112.8,84.2,-.009
Louisville,BE,26.06,111.2,85.2,.068
Missouri,B12,24.81,116.6,91.8,.031
Oklahoma,B12,24.59,118.3,93.7,.018
Gonzaga,WCC,24.51,117.5,93.0,.003
Michigan St.,B10,24.37,114.3,89.9,.091
Duke,ACC,24.31,117.5,93.2,.053
West Virginia,BE,24.21,115.1,90.9,-.067
UCLA,P10,23.93,119.5,95.6,-.030
Villanova,BE,23.89,114.4,90.5,.021
Kansas,B12,23.83,114.5,90.7,-.013
Arizona St.,P10,23.03,118.2,95.2,-.018
Syracuse,BE,22.21,117.0,94.8,.024
Washington,P10,22.09,113.1,91.0,-.005
Purdue,B10,21.84,110.5,88.7,-.012
Marquette,BE,21.02,117.1,96.1,-.014
Xavier,A10,20.24,111.0,90.8,-.008
BYU,MWC,20.10,114.0,93.9,-.046
Texas,B12,19.65,112.2,92.5,-.048
Clemson,ACC,19.62,116.4,96.7,-.024
Wake Forest,ACC,18.88,111.6,92.7,.051
Illinois,B10,18.72,106.8,88.1,.001
Oklahoma St.,B12,18.33,116.4,98.1,-.003
USC,P10,18.26,110.0,91.8,-.032
Utah,MWC,17.80,110.8,92.9,.013
Wisconsin,B10,17.62,113.3,95.7,-.052
California,P10,17.37,116.8,99.4,.001
Georgetown,BE,16.96,111.1,94.2,-.106
Tennessee,SEC,16.48,115.1,98.7,-.032
Baylor,B12,16.38,116.5,100.1,-.017
Ohio St.,B10,16.34,113.3,96.9,.042
Florida,SEC,16.16,115.1,98.9,-.076
San Diego St.,MWC,16.05,109.4,93.3,.020
Arizona,P10,15.96,117.7,101.8,.018
Butler,Horz,15.78,110.3,94.5,-.014
Florida St.,ACC,15.76,105.9,90.1,.066
Minnesota,B10,15.43,108.1,92.6,.031
Notre Dame,BE,15.38,115.0,99.6,-.034
Miami FL,ACC,15.30,111.2,95.9,-.048
New Mexico,MWC,15.29,112.2,96.9,-.054
Utah St.,WAC,15.12,116.7,101.6,.046
Texas A&M,B12,15.01,113.1,98.1,.053
LSU,SEC,14.86,111.5,96.6,.075
Michigan,B10,14.75,112.2,97.5,.014
Kentucky,SEC,14.62,107.8,93.2,-.073
Washington St.,P10,14.58,105.0,90.4,-.076
Temple,A10,14.38,109.9,95.5,-.005
Kansas St.,B12,14.18,109.4,95.2,-.019
Stanford,P10,14.13,112.5,98.3,-.022
UAB,CUSA,13.73,109.4,95.7,-.009
VCU,CAA,13.62,110.1,96.4,-.073
Maryland,ACC,13.55,110.0,96.4,.039
Saint Mary's,WCC,13.36,110.6,97.2,.083
Penn St.,B10,12.91,111.8,98.9,.080
Tulsa,CUSA,12.75,106.2,93.4,.060
Auburn,SEC,12.46,106.8,94.3,-.032
Illinois St.,MVC,12.44,109.0,96.5,-.038
North Dakota St.,Sum,12.29,114.3,102.0,-.009
Rhode Island,A10,12.26,113.7,101.5,-.043
Nebraska,B12,12.21,103.5,91.3,-.032
Davidson,SC,12.06,105.1,93.1,.003
Northwestern,B10,12.01,111.7,99.7,-.029
Cleveland St.,Horz,11.96,105.3,93.3,.009
Siena,MAAC,11.93,110.3,98.4,.031
Creighton,MVC,11.79,111.9,100.1,.050
Mississippi St.,SEC,11.55,107.8,96.2,-.004
Houston,CUSA,11.49,109.2,97.7,-.038
South Carolina,SEC,11.44,107.3,95.9,-.012
Virginia Tech,ACC,11.37,110.9,99.5,-.007
UNLV,MWC,11.29,106.9,95.6,.010
Boston College,ACC,11.20,113.2,102.0,.038
Niagara,MAAC,10.62,109.2,98.6,.003
Seton Hall,BE,10.30,110.7,100.4,-.025
Providence,BE,10.26,111.0,100.7,.034
Dayton,A10,10.23,103.3,93.0,.107
Green Bay,Horz,10.16,112.9,102.7,-.018
Vanderbilt,SEC,10.01,107.6,97.6,-.011
