team,conf,adjem,adjo,adjd,luck
Villanova,BE,32.01,122.8,90.8,.023
North Carolina,ACC,29.82,124.4,94.6,-.055
Kansas,B12,29.67,120.0,90.4,.044
Virginia,ACC,29.64,120.6,91.0,-.040
Michigan St.,B10,27.97,123.4,95.5,-.012
Kentucky,SEC,25.14,121.8,96.6,-.046
Louisville,ACC,24.68,113.4,88.8,-.025
West Virginia,B12,24.45,115.3,90.9,.003
Purdue,B10,23.85,116.9,93.1,-.046
Oklahoma,B12,23.78,117.9,94.1,.082
Indiana,B10,23.05,121.7,98.7,.000
Oregon,P12,22.68,119.1,96.4,.041
Wichita St.,MVC,22.53,111.3,88.7,-.079
Xavier,BE,22.52,117.1,94.6,.047
Miami FL,ACC,22.44,119.4,96.9,.077
SMU,Amer,21.98,119.3,97.3,.014
Duke,ACC,21.87,121.9,100.0,-.026
Texas A&M,SEC,21.26,113.8,92.5,.006
Arizona,P12,20.97,116.8,95.8,-.038
Iowa St.,B12,20.95,121.2,100.3,-.062
Gonzaga,WCC,20.82,116.3,95.5,-.038
Maryland,B10,20.25,116.2,95.9,.016
Iowa,B10,20.24,116.1,95.9,-.071
Baylor,B12,19.06,118.9,99.8,-.012
Vanderbilt,SEC,18.76,113.6,94.9,-.106
Connecticut,Amer,18.71,111.9,93.2,-.036
Syracuse,ACC,18.57,112.7,94.1,-.027
California,P12,18.32,112.5,94.2,-.053
Seton Hall,BE,18.27,111.1,92.9,.016
Butler,BE,17.27,118.0,100.7,-.009
VCU,A10,17.07,112.1,95.0,-.070
Cincinnati,Amer,17.06,111.2,94.1,-.067
Utah,P12,16.79,115.6,98.8,.112
Saint Mary's,WCC,16.74,117.3,100.6,.025
Florida,SEC,16.64,110.5,93.9,-.056
Notre Dame,ACC,16.60,120.6,104.0,.054
Pittsburgh,ACC,16.60,114.9,98.3,-.011
Wisconsin,B10,16.55,110.1,93.6,-.022
Texas,B12,16.19,113.0,96.8,.022
Creighton,BE,15.82,113.4,97.6,-.095
Stephen F. Austin,Slnd,15.62,112.2,96.6,.007
Valparaiso,Horz,15.46,107.5,92.0,-.007
Saint Joseph's,A10,15.37,114.3,98.9,.030
Providence,BE,14.49,110.0,95.5,.062
Clemson,ACC,14.38,113.3,98.9,-.095
San Diego St.,MWC,14.35,104.8,90.5,.015
Yale,Ivy,14.33,110.4,96.0,.026
Florida St.,ACC,14.26,113.1,98.9,-.020
USC,P12,14.25,113.9,99.7,-.028
Michigan,B10,14.15,114.6,100.5,.013
Georgia Tech,ACC,14.13,113.8,99.6,.015
BYU,WCC,13.89,113.1,99.2,-.050
George Washington,A10,13.86,114.8,101.0,.031
Texas Tech,B12,13.78,113.2,99.4,.028
Kansas St.,B12,13.46,108.8,95.4,-.052
Arkansas Little Rock,SB,13.24,109.2,96.0,.056
Colorado,P12,12.91,108.8,95.9,.015
South Carolina,SEC,12.87,109.0,96.2,.060
Dayton,A10,12.63,106.6,94.0,.082
Hawaii,BW,12.16,108.2,96.1,.013
Houston,Amer,11.81,116.7,104.9,-.006
Georgetown,BE,11.71,111.4,99.7,-.102
Virginia Tech,ACC,11.68,110.6,98.9,.015
Oregon St.,P12,11.65,110.7,99.1,.043
Tulsa,Amer,11.50,111.2,99.7,-.003
Washington,P12,11.22,110.4,99.2,-.016
Northern Iowa,MVC,11.13,109.6,98.5,.013
Northwestern,B10,11.04,111.1,100.1,-.002
UCLA,P12,10.75,112.6,101.9,-.056
Princeton,Ivy,10.63,112.3,101.7,.036
Georgia,SEC,10.59,107.9,97.3,.065
Evansville,MVC,10.56,108.3,97.8,-.011
Arkansas,SEC,10.45,110.7,100.3,-.080
North Carolina St.,ACC,10.44,114.1,103.7,-.037
Memphis,Amer,10.10,107.5,97.4,-.098
Ohio St.,B10,10.00,107.0,97.0,.049
Mississippi,SEC,9.88,111.9,102.0,.022
Mississippi St.,SEC,9.62,110.1,100.5,-.120
Oakland,Horz,9.60,116.3,106.7,-.058
South Dakota St.,Sum,9.57,111.4,101.8,.004
LSU,SEC,9.56,111.9,102.3,.022
Rhode Island,A10,9.37,108.4,99.0,-.115
UNC Wilmington,CAA,9.21,110.7,101.5,.033
UC Irvine,BW,9.10,106.0,96.9,.093
Nebraska,B10,8.82,110.4,101.6,-.097
Temple,Amer,8.82,107.0,98.1,.095
William & Mary,CAA,8.79,113.3,104.5,-.015
Akron,MAC,8.63,110.1,101.5,.025
St. Bonaventure,A10,8.63,113.7,105.1,-.001
Boise St.,MWC,8.61,109.5,100.9,-.050
James Madison,CAA,8.50,108.1,99.6,-.043
Hofstra,CAA,8.43,111.6,103.2,.024
Arizona St.,P12,8.38,109.6,101.2,-.015
Stony Brook,AE,8.13,107.3,99.1,.049
Monmouth,MAAC,8.10,107.3,99.2,.021
Alabama,SEC,8.07,105.5,97.4,.093
Marquette,BE,7.91,108.0,100.1,.055
Oklahoma St.,B12,7.75,106.4,98.6,-.103
Richmond,A10,7.70,113.6,105.9,-.075
Old Dominion,CUSA,7.52,107.0,99.5,-.032
Stanford,P12,7.46,108.0,100.5,.040
UT Arlington,SB,7.45,106.9,99.5,-.036
Tennessee,SEC,7.31,111.0,103.7,-.051
Iona,MAAC,7.13,110.5,103.4,-.005
UC Santa Barbara,BW,6.83,106.3,99.5,-.006
Davidson,A10,6.73,114.3,107.6,.078
Long Beach St.,BW,6.64,108.5,101.9,.063
Fresno St.,MWC,6.63,107.4,100.8,.085
Chattanooga,SC,6.50,107.5,101.0,.132
Cal St. Bakersfield,WAC,6.26,104.0,97.8,-.003
New Mexico St.,WAC,6.13,103.3,97.2,-.014
Louisiana Lafayette,SB,5.96,111.0,105.1,-.089
Columbia,Ivy,5.67,112.4,106.7,-.001
Milwaukee,Horz,5.20,112.5,107.3,-.077
New Mexico,MWC,5.14,108.3,103.2,-.035
UAB,CUSA,5.12,109.3,104.2,.083
UNLV,MWC,5.09,103.4,98.3,-.044
Wake Forest,ACC,4.78,107.3,102.5,.026
Middle Tennessee,CUSA,4.76,104.6,99.9,.088
Illinois St.,MVC,4.63,104.0,99.4,.010
Albany,AE,4.25,106.9,102.7,-.030
College of Charleston,CAA,4.16,98.6,94.4,-.058
Toledo,MAC,4.02,108.6,104.5,-.121
Nevada,MWC,3.94,102.4,98.5,.065
Illinois,B10,3.91,106.9,103.0,.020
Morehead St.,OVC,3.78,106.6,102.8,-.006
Green Bay,Horz,3.74,108.3,104.6,.057
Siena,MAAC,3.67,108.1,104.5,-.028
Belmont,OVC,3.51,114.0,110.5,-.009
Grand Canyon,WAC,3.49,105.0,101.5,.100
UNC Asheville,BSth,3.44,103.6,100.1,-.008
Northeastern,CAA,3.38,107.0,103.7,.016
Louisiana Monroe,SB,3.31,106.5,103.1,.028
Utah St.,MWC,3.25,111.2,108.0,-.032
IPFW,Sum,3.17,111.7,108.6,.139
TCU,B12,3.02,101.6,98.5,-.031
Pepperdine,WCC,3.02,106.1,103.0,.030
Buffalo,MAC,2.95,105.9,102.9,.044
Southern Illinois,MVC,2.80,107.2,104.4,.082
Penn St.,B10,2.58,103.4,100.8,.112
Ohio,MAC,2.56,110.6,108.1,.052
Weber St.,BSky,2.45,103.4,100.9,.019
Montana,BSky,2.28,106.9,104.6,.005
Colorado St.,MWC,2.17,112.3,110.2,-.031
North Dakota St.,Sum,2.07,101.9,99.8,.003
Wright St.,Horz,2.01,101.4,99.4,.057
Marshall,CUSA,1.84,111.0,109.1,-.018
Nebraska Omaha,Sum,1.83,109.7,107.9,-.052
High Point,BSth,1.54,110.8,109.2,-.012
Eastern Michigan,MAC,1.27,106.7,105.4,.013
Vermont,AE,1.19,107.8,106.6,.028
Towson,CAA,0.98,105.4,104.4,.043
East Tennessee St.,SC,0.88,107.7,106.8,.124
Louisiana Tech,CUSA,0.87,104.6,103.7,.047
Ball St.,MAC,0.84,103.5,102.6,-.017
Duquesne,A10,0.72,107.6,106.9,-.010
Winthrop,BSth,0.69,108.4,107.7,.034
Central Michigan,MAC,0.51,110.5,110.0,-.062
Missouri,SEC,0.20,104.7,104.5,-.088
Elon,CAA,0.20,106.6,106.4,.018
Fordham,A10,-0.06,102.3,102.4,-.000
