team,conf,adjem,adjo,adjd,luck
Florida,SEC,28.28,117.9,89.7,-.011
Duke,ACC,27.54,119.4,91.8,.047
Texas,B12,25.79,117.5,91.7,.039
Connecticut,BE,25.44,117.8,92.3,.077
Villanova,BE,24.59,116.3,91.7,.080
Memphis,CUSA,23.54,113.2,89.6,-.007
UCLA,P10,23.40,112.7,89.3,.020
Kansas,B12,23.22,110.4,87.2,-.043
Illinois,B10,23.20,114.5,91.3,-.019
North Carolina,ACC,22.16,115.9,93.7,-.010
LSU,SEC,22.00,109.8,87.8,.008
Pittsburgh,BE,21.72,112.4,90.6,-.031
Georgetown,BE,21.29,116.5,95.2,-.026
Ohio St.,B10,20.68,113.0,92.3,.028
Washington,P10,20.09,114.8,94.7,.007
West Virginia,BE,19.49,116.1,96.6,-.046
Tennessee,SEC,19.44,116.6,97.2,.012
Boston College,ACC,18.65,117.8,99.2,.024
South Carolina,SEC,18.54,114.9,96.4,-.057
Arkansas,SEC,18.47,112.2,93.8,-.062
Iowa,B10,18.22,103.8,85.6,.046
George Mason,CAA,18.16,109.7,91.5,.017
Arizona,P10,17.23,112.2,95.0,-.037
Kentucky,SEC,17.13,114.4,97.3,-.001
Bradley,MVC,16.50,107.5,91.0,-.019
Wichita St.,MVC,16.06,111.8,95.7,.032
Michigan St.,B10,16.02,116.3,100.3,.004
Michigan,B10,15.98,113.1,97.2,.012
Notre Dame,BE,15.97,117.3,101.4,-.145
North Carolina St.,ACC,15.92,112.5,96.6,.013
Texas A&M,B12,15.90,106.7,90.8,-.008
Northern Iowa,MVC,15.84,109.0,93.1,-.025
Gonzaga,WCC,15.64,119.1,103.5,.036
Indiana,B10,15.53,110.0,94.4,-.012
Missouri St.,MVC,15.52,111.0,95.5,.039
Marquette,BE,15.36,112.8,97.4,-.012
Nevada,WAC,15.22,110.0,94.8,.024
Florida St.,ACC,15.01,110.1,95.1,-.033
Wisconsin,B10,14.94,111.5,96.6,-.024
Air Force,MWC,14.87,113.2,98.3,-.001
Saint Joseph's,A10,14.84,109.8,95.0,-.064
UNC Wilmington,CAA,14.77,107.2,92.4,-.006
George Washington,A10,14.67,110.3,95.6,.106
Cincinnati,BE,14.27,110.9,96.6,-.001
Oklahoma,B12,13.99,113.0,99.0,.049
Louisville,BE,13.98,108.2,94.2,-.041
California,P10,13.68,110.5,96.8,.021
Southern Illinois,MVC,13.60,102.9,89.3,.032
Vanderbilt,SEC,13.58,114.7,101.2,-.030
Syracuse,BE,13.15,110.0,96.8,.077
Creighton,MVC,13.11,107.2,94.1,.000
San Diego St.,MWC,12.78,112.8,100.0,-.001
Oklahoma St.,B12,12.76,107.9,95.2,-.096
Xavier,A10,12.73,110.9,98.2,-.065
Miami FL,ACC,12.71,111.2,98.5,-.039
UAB,CUSA,12.65,109.1,96.5,.058
Maryland,ACC,12.63,107.6,95.0,-.022
Bucknell,Pat,12.56,105.7,93.1,.092
Clemson,ACC,12.51,105.9,93.4,-.049
