team,conf,adjem,adjo,adjd,luck
North Carolina,ACC,31.37,121.0,89.6,-.046
Florida,SEC,30.81,122.8,92.0,.028
Ohio St.,B10,29.33,121.0,91.7,.057
Georgetown,BE,28.48,122.0,93.5,.006
Kansas,B12,27.81,115.3,87.5,.031
UCLA,P10,27.15,115.4,88.3,.019
Texas A&M,B12,26.97,119.3,92.3,-.047
Wisconsin,B10,25.45,115.6,90.1,.034
Memphis,CUSA,24.81,115.4,90.6,.030
Duke,ACC,23.30,113.2,89.9,-.074
Pittsburgh,BE,22.90,118.1,95.2,.033
Maryland,ACC,22.42,112.4,90.0,-.027
Kentucky,SEC,21.73,117.0,95.3,-.029
Indiana,B10,21.58,115.4,93.8,-.058
Butler,Horz,21.45,118.0,96.5,.016
Southern Illinois,MVC,21.03,109.8,88.8,.017
Michigan St.,B10,20.97,112.8,91.8,-.036
Oregon,P10,20.76,118.3,97.6,.031
Louisville,BE,20.35,113.5,93.1,-.046
Air Force,MWC,20.20,116.5,96.3,-.021
Villanova,BE,20.11,113.4,93.3,-.036
Notre Dame,BE,20.02,118.1,98.1,-.018
Georgia Tech,ACC,19.61,116.9,97.3,-.067
Arizona,P10,19.43,119.5,100.1,-.009
Texas,B12,19.24,119.5,100.3,-.008
Mississippi St.,SEC,19.03,113.5,94.5,-.114
Washington St.,P10,18.87,111.7,92.8,.004
Creighton,MVC,18.53,113.8,95.3,-.023
Clemson,ACC,18.46,112.3,93.9,-.009
Purdue,B10,18.31,110.7,92.4,.002
Tennessee,SEC,18.29,115.9,97.6,.035
Xavier,A10,18.13,117.3,99.2,-.047
West Virginia,BE,18.06,116.5,98.5,.021
Florida St.,ACC,17.79,116.2,98.4,-.007
Missouri St.,MVC,17.51,113.4,95.9,-.029
Illinois,B10,17.50,107.3,89.8,-.017
Virginia Tech,ACC,17.38,112.4,95.0,-.004
Marquette,BE,17.18,111.8,94.6,.009
USC,P10,16.86,111.0,94.2,.016
Syracuse,BE,16.84,112.0,95.2,-.066
UNLV,MWC,16.83,112.6,95.8,.098
Arkansas,SEC,16.62,110.6,93.9,-.021
Vanderbilt,SEC,16.23,115.7,99.4,.008
