team,conf,adjem,adjo,adjd,luck
Gonzaga,WCC,32.05,118.4,86.3,.020
Villanova,BE,29.88,122.4,92.5,.010
North Carolina,ACC,28.22,120.7,92.5,.037
Kentucky,SEC,27.72,119.1,91.4,.006
Florida,SEC,27.50,116.9,89.5,-.041
Kansas,B12,27.45,121.9,94.5,.067
West Virginia,B12,27.17,116.5,89.4,-.043
Wichita St.,MVC,26.14,118.7,92.6,-.021
Louisville,ACC,25.51,117.2,91.7,-.023
Oregon,P12,25.02,118.2,93.2,.034
SMU,Amer,24.73,119.8,95.0,.003
Virginia,ACC,24.29,112.2,88.0,-.030
Baylor,B12,24.23,117.1,92.9,.023
Duke,ACC,24.17,121.0,96.8,.014
Saint Mary's,WCC,23.67,118.7,95.0,.030
UCLA,P12,23.63,124.0,100.4,.021
Iowa St.,B12,23.45,119.7,96.3,-.019
Arizona,P12,23.31,118.4,95.1,.046
Purdue,B10,23.12,117.0,93.9,.016
Michigan,B10,23.05,122.3,99.2,-.025
Wisconsin,B10,22.99,115.1,92.1,-.003
Oklahoma St.,B12,22.48,126.0,103.5,-.071
Cincinnati,Amer,22.18,114.9,92.8,.026
South Carolina,SEC,20.80,108.9,88.1,-.005
Butler,BE,20.76,117.7,97.0,.002
Florida St.,ACC,20.06,115.5,95.5,.039
Notre Dame,ACC,19.74,118.1,98.4,.024
Creighton,BE,18.83,115.3,96.5,.004
TCU,B12,17.51,114.5,97.0,-.008
Kansas St.,B12,17.44,113.0,95.6,-.029
Xavier,BE,16.70,115.7,99.0,.044
Marquette,BE,16.58,120.8,104.2,-.058
Vanderbilt,SEC,16.53,112.4,95.9,-.048
Rhode Island,A10,16.26,111.5,95.2,-.033
Arkansas,SEC,16.25,116.1,99.8,.086
Wake Forest,ACC,16.25,120.9,104.7,-.043
Minnesota,B10,16.00,109.7,93.7,.022
Northwestern,B10,15.81,111.3,95.5,.019
Dayton,A10,15.57,111.9,96.3,-.021
Michigan St.,B10,15.51,111.4,95.9,-.011
Texas Tech,B12,15.11,112.6,97.5,-.082
Miami FL,ACC,15.03,109.9,94.9,.031
Middle Tennessee,CUSA,14.95,112.2,97.2,.011
Indiana,B10,14.49,116.1,101.6,-.090
Clemson,ACC,14.46,114.9,100.5,-.064
Maryland,B10,14.34,113.1,98.7,.061
Utah,P12,14.20,113.5,99.3,-.099
VCU,A10,14.07,110.1,96.0,.026
Illinois St.,MVC,14.00,107.6,93.6,.081
Virginia Tech,ACC,13.80,117.3,103.5,.053
Seton Hall,BE,13.63,109.4,95.8,.058
Houston,Amer,13.61,113.5,99.9,-.032
USC,P12,13.45,114.2,100.7,.079
Nevada,MWC,13.31,114.6,101.3,.055
Syracuse,ACC,13.31,115.7,102.3,-.048
Alabama,SEC,13.08,105.3,92.2,-.055
Tennessee,SEC,12.62,110.1,97.5,-.053
Princeton,Ivy,12.61,109.0,96.4,.007
UNC Wilmington,CAA,12.46,118.0,105.5,.039
Providence,BE,12.43,108.5,96.0,.014
Georgia,SEC,12.39,108.7,96.3,.015
California,P12,12.13,104.9,92.7,-.012
Vermont,AE,11.67,111.1,99.4,.053
Texas A&M,SEC,11.49,108.7,97.3,-.042
Oklahoma,B12,11.49,107.4,95.9,-.102
Illinois,B10,11.31,107.2,95.8,.028
East Tennessee St.,SC,11.10,108.0,96.9,.005
UCF,Amer,10.91,104.2,93.3,.022
Georgetown,BE,10.72,108.4,97.7,-.102
Texas,B12,10.51,104.2,93.7,-.105
Iowa,B10,10.48,113.0,102.5,.011
Colorado,P12,10.30,112.6,102.3,-.050
Ohio St.,B10,10.20,111.2,101.0,-.054
Mississippi,SEC,10.16,111.1,100.9,.062
UT Arlington,SB,9.80,110.6,100.8,.038
Bucknell,Pat,9.38,109.7,100.3,.006
Georgia Tech,ACC,9.00,100.0,91.0,.069
San Diego St.,MWC,8.99,104.0,95.1,-.101
Pittsburgh,ACC,8.72,112.4,103.7,.044
BYU,WCC,8.66,109.1,100.5,.006
Monmouth,MAAC,8.61,109.1,100.5,.070
Auburn,SEC,8.52,111.9,103.3,.045
Belmont,OVC,8.17,110.8,102.7,.069
New Mexico St.,WAC,7.89,110.5,102.6,.063
Davidson,A10,7.70,108.4,100.7,-.031
Colorado St.,MWC,7.67,108.5,100.9,.024
Penn St.,B10,7.30,104.5,97.2,-.013
Mississippi St.,SEC,7.27,106.6,99.3,-.032
College of Charleston,CAA,7.25,106.2,98.9,.054
Cal St. Bakersfield,WAC,7.24,100.9,93.7,.014
St. Bonaventure,A10,7.23,109.0,101.8,-.027
Richmond,A10,7.21,110.0,102.8,.043
Louisiana Tech,CUSA,7.06,107.9,100.9,-.062
Boise St.,MWC,7.00,109.2,102.2,.032
Saint Peter's,MAAC,6.67,102.5,95.9,-.024
Connecticut,Amer,6.53,105.2,98.7,-.047
Loyola Chicago,MVC,6.45,108.9,102.5,-.104
Fresno St.,MWC,6.37,104.6,98.2,-.001
St. John's,BE,6.26,109.0,102.7,-.039
Akron,MAC,6.10,112.6,106.4,.084
Memphis,Amer,6.02,107.0,101.0,.026
Stanford,P12,5.91,104.8,98.9,-.008
Oakland,Horz,5.90,105.0,99.1,-.011
Valparaiso,Horz,5.82,106.3,100.5,.069
Ohio,MAC,5.73,105.6,99.9,-.072
Furman,SC,5.21,107.0,101.7,.010
Nebraska,B10,5.14,105.0,99.8,.011
Florida Gulf Coast,ASun,5.07,109.4,104.4,.037
North Carolina St.,ACC,4.98,112.6,107.6,.019
UNC Asheville,BSth,4.85,107.4,102.5,.012
San Francisco,WCC,4.74,102.8,98.0,.008
Harvard,Ivy,4.73,106.7,101.9,-.070
Winthrop,BSth,4.53,106.1,101.6,.029
Chattanooga,SC,4.32,106.6,102.3,-.010
Lehigh,Pat,4.23,107.5,103.3,-.034
