team,conf,adjem,adjo,adjd,luck
Louisville,BE,32.92,117.7,84.8,-.016
Florida,SEC,31.18,117.2,86.0,-.089
Indiana,B10,29.31,120.8,91.5,-.021
Michigan,B10,27.86,121.9,94.0,-.007
Gonzaga,WCC,27.81,120.5,92.7,.026
Duke,ACC,26.98,119.1,92.1,.033
Ohio St.,B10,25.42,115.1,89.7,.020
Kansas,B12,25.23,112.7,87.5,.010
Syracuse,BE,24.83,113.1,88.3,-.004
Michigan St.,B10,24.17,112.6,88.5,.001
Pittsburgh,BE,24.08,115.6,91.5,-.058
Wisconsin,B10,22.57,108.3,85.7,-.033
Miami FL,ACC,22.37,113.6,91.3,.028
Arizona,P12,21.88,115.4,93.5,-.012
Creighton,MVC,21.75,118.3,96.5,-.009
Georgetown,BE,21.24,107.6,86.4,.038
Wichita St.,MVC,20.31,111.8,91.5,-.002
VCU,A10,20.28,114.0,93.7,.002
Saint Louis,A10,20.01,108.6,88.6,.000
Minnesota,B10,19.85,114.8,95.0,-.036
Saint Mary's,WCC,19.33,116.1,96.8,.023
Colorado St.,MWC,19.12,117.9,98.8,.020
New Mexico,MWC,19.02,109.9,90.9,.073
Oklahoma St.,B12,18.69,109.0,90.3,-.016
Missouri,SEC,18.53,114.9,96.4,-.032
Marquette,BE,18.32,113.2,94.9,.090
Kansas St.,B12,18.16,113.5,95.3,.051
Baylor,B12,17.89,114.3,96.4,-.090
Iowa,B10,17.83,109.8,91.9,-.029
Iowa St.,B12,17.63,117.5,99.8,-.046
San Diego St.,MWC,17.43,107.7,90.3,-.049
North Carolina,ACC,17.14,112.2,95.1,.038
North Carolina St.,ACC,16.99,116.8,99.8,-.032
Mississippi,SEC,16.95,112.3,95.3,-.011
Oregon,P12,16.78,106.6,89.8,.052
Notre Dame,BE,16.65,114.6,97.9,.046
Memphis,CUSA,16.33,107.3,91.0,.056
UNLV,MWC,16.07,106.0,90.0,-.015
Illinois,B10,15.82,110.6,94.8,.042
Cincinnati,BE,15.57,105.9,90.4,-.012
Virginia,ACC,15.51,107.5,92.0,-.067
Butler,A10,15.41,110.5,95.1,.087
Belmont,OVC,14.92,111.6,96.6,.013
Middle Tennessee,SB,14.77,107.3,92.5,.052
Colorado,P12,14.62,106.5,91.9,.029
UCLA,P12,14.53,111.1,96.6,.068
Denver,WAC,14.30,110.0,95.7,-.044
Stanford,P12,14.18,109.9,95.7,-.075
Connecticut,BE,14.05,109.9,95.9,.011
La Salle,A10,13.89,111.8,98.0,.051
Oklahoma,B12,13.80,111.1,97.3,.004
Maryland,ACC,13.62,107.1,93.4,-.032
Villanova,BE,13.57,106.3,92.7,.011
Boise St.,MWC,13.54,113.2,99.7,.004
Kentucky,SEC,13.25,111.4,98.1,-.006
California,P12,13.11,107.3,94.2,.041
