team,conf,adjem,adjo,adjd,luck
Duke,ACC,33.29,121.0,87.7,.009
Kansas,B12,31.85,120.4,88.5,.038
Syracuse,BE,27.62,118.5,90.9,-.008
Kentucky,SEC,26.54,114.9,88.3,.060
West Virginia,BE,25.54,117.2,91.7,.057
Kansas St.,B12,25.52,116.1,90.6,-.008
Ohio St.,B10,24.99,117.5,92.5,.007
Baylor,B12,24.95,119.2,94.3,-.021
Wisconsin,B10,23.56,115.2,91.6,-.013
BYU,MWC,23.27,117.3,94.0,.012
Georgetown,BE,22.64,116.8,94.2,-.035
Butler,Horz,22.45,111.0,88.5,.032
Maryland,ACC,22.37,118.3,95.9,-.023
California,P10,22.15,119.6,97.4,-.043
Purdue,B10,22.05,109.8,87.7,.070
Texas A&M,B12,21.33,112.6,91.2,-.005
Villanova,BE,21.24,117.2,96.0,.025
Xavier,A10,20.87,115.5,94.6,.010
Texas,B12,20.75,113.9,93.1,-.014
Michigan St.,B10,20.13,112.8,92.7,.027
Temple,A10,20.12,107.8,87.7,.076
Missouri,B12,19.99,111.5,91.5,-.035
Utah St.,WAC,19.90,116.0,96.1,-.026
Marquette,BE,19.65,115.1,95.5,-.064
Clemson,ACC,19.28,110.9,91.6,-.041
Dayton,A10,18.92,108.1,89.1,-.097
Northern Iowa,MVC,18.87,109.6,90.8,.034
Pittsburgh,BE,18.66,111.4,92.8,.041
Saint Mary's,WCC,18.59,116.5,97.9,.038
Tennessee,SEC,18.50,108.9,90.4,.082
Georgia Tech,ACC,18.22,109.2,91.0,-.034
Washington,P10,18.19,111.7,93.6,.029
Florida St.,ACC,18.02,105.0,87.0,.009
Minnesota,B10,17.97,112.0,94.1,-.055
Notre Dame,BE,17.71,119.4,101.7,-.068
Vanderbilt,SEC,17.54,113.7,96.2,.019
Old Dominion,CAA,17.51,107.8,90.3,.009
Louisville,BE,16.91,114.5,97.6,-.038
Oklahoma St.,B12,16.72,112.2,95.4,.011
San Diego St.,MWC,16.58,111.4,94.9,.006
UNLV,MWC,16.56,110.6,94.0,-.013
UTEP,CUSA,16.53,107.7,91.2,.024
New Mexico,MWC,16.18,113.6,97.4,.096
Gonzaga,WCC,16.14,112.3,96.1,.079
Mississippi St.,SEC,15.98,109.7,93.7,-.049
Cornell,Ivy,15.92,117.4,101.5,.068
Virginia Tech,ACC,15.86,108.3,92.4,.034
Mississippi,SEC,15.77,112.9,97.2,-.034
Memphis,CUSA,15.24,115.3,100.1,-.038
