team,conf,adjem,adjo,adjd,luck
Kentucky,SEC,36.91,121.3,84.4,.048
Wisconsin,B10,33.72,129.0,95.2,.015
Duke,ACC,32.48,124.5,92.0,.067
Arizona,P12,32.36,119.9,87.5,-.033
Villanova,BE,30.65,122.7,92.0,.031
Virginia,ACC,30.06,115.6,85.5,.023
Gonzaga,WCC,27.78,121.7,93.9,.018
Utah,P12,27.24,116.4,89.2,-.054
Notre Dame,ACC,24.96,125.4,100.4,.062
North Carolina,ACC,23.85,119.1,95.3,-.026
Oklahoma,B12,22.80,112.5,89.7,-.045
Kansas,B12,22.72,114.5,91.8,.070
Wichita St.,MVC,22.21,115.8,93.6,.022
Baylor,B12,22.14,116.6,94.5,-.035
Michigan St.,B10,21.72,116.6,94.9,-.017
Iowa St.,B12,21.49,119.0,97.5,.005
Louisville,ACC,21.21,110.2,88.9,.027
Northern Iowa,MVC,20.98,116.3,95.3,.018
Ohio St.,B10,20.75,115.6,94.8,-.043
Butler,BE,20.09,110.2,90.1,-.023
Xavier,BE,19.49,116.6,97.1,-.062
Georgetown,BE,19.13,114.3,95.1,-.000
Iowa,B10,19.02,114.2,95.1,-.007
Texas,B12,18.94,112.4,93.4,-.079
West Virginia,B12,17.64,112.6,94.9,.087
SMU,Amer,17.51,113.1,95.6,-.004
Providence,BE,16.72,112.6,95.9,.038
BYU,WCC,16.69,119.4,102.7,-.055
Arkansas,SEC,16.44,114.7,98.3,.045
VCU,A10,16.27,111.1,94.9,.043
San Diego St.,MWC,15.95,104.9,89.0,.026
North Carolina St.,ACC,15.93,114.9,98.9,-.003
Maryland,B10,15.68,111.3,95.7,.127
Florida,SEC,15.39,107.3,91.9,-.117
Georgia,SEC,15.09,109.6,94.5,.001
Davidson,A10,15.00,119.7,104.7,.056
Vanderbilt,SEC,14.99,115.6,100.6,-.110
Oklahoma St.,B12,14.92,111.8,96.8,-.045
Stanford,P12,14.72,113.6,98.9,.006
UCLA,P12,14.65,112.9,98.2,.032
Miami FL,ACC,14.49,112.5,98.1,.022
Dayton,A10,14.24,109.2,95.0,.022
Cincinnati,Amer,14.15,108.2,94.0,-.016
Purdue,B10,13.96,110.9,97.0,-.006
Oregon,P12,13.88,115.2,101.3,.119
Mississippi,SEC,13.88,114.5,100.6,-.033
Boise St.,MWC,13.85,111.9,98.1,.009
Indiana,B10,13.83,119.8,106.0,-.044
LSU,SEC,13.76,108.9,95.1,-.043
St. John's,BE,13.70,110.7,97.0,.050
Stephen F. Austin,Slnd,13.64,113.9,100.3,.020
Minnesota,B10,13.06,112.7,99.7,-.099
Syracuse,ACC,12.78,107.0,94.2,-.025
Texas A&M,SEC,12.31,109.4,97.1,-.010
Alabama,SEC,12.28,111.6,99.3,-.032
TCU,B12,12.25,108.8,96.6,-.081
Murray St.,OVC,12.04,116.5,104.5,.076
Buffalo,MAC,11.87,111.3,99.4,.001
Richmond,A10,11.76,108.6,96.8,-.078
Rhode Island,A10,11.74,103.9,92.2,-.006
Illinois,B10,11.68,108.3,96.7,-.026
Illinois St.,MVC,11.67,107.7,96.1,-.050
South Carolina,SEC,11.32,105.6,94.3,-.048
