team,conf,adjem,adjo,adjd,luck
Ohio St.,B10,33.47,125.0,91.5,.031
Duke,ACC,28.42,119.7,91.3,.017
Kansas,B12,28.38,118.9,90.6,.060
Pittsburgh,BE,27.08,120.6,93.5,-.023
Texas,B12,25.93,115.5,89.6,-.058
Wisconsin,B10,25.84,122.3,96.5,-.003
Kentucky,SEC,25.82,117.8,92.0,-.044
San Diego St.,MWC,24.98,114.1,89.1,.059
Purdue,B10,24.79,115.9,91.1,.007
Connecticut,BE,23.93,115.8,91.9,.048
Notre Dame,BE,23.25,120.9,97.7,.074
BYU,MWC,23.22,117.5,94.3,.055
Syracuse,BE,22.49,114.9,92.4,.032
Louisville,BE,22.26,111.4,89.2,-.037
North Carolina,ACC,22.18,111.8,89.6,.064
Washington,P10,21.69,117.7,96.0,-.099
Florida,SEC,20.61,115.8,95.2,.038
Illinois,B10,20.14,113.3,93.1,-.074
West Virginia,BE,20.11,114.9,94.8,-.018
Arizona,P10,19.65,117.4,97.8,.064
Cincinnati,BE,19.41,111.1,91.7,.040
Utah St.,WAC,19.32,111.2,91.8,.033
Belmont,ASun,18.48,112.6,94.1,-.006
George Mason,CAA,18.30,114.1,95.8,.028
Clemson,ACC,18.16,109.6,91.5,-.087
Marquette,BE,18.14,115.5,97.3,-.058
Wichita St.,MVC,17.94,113.9,95.9,-.041
Villanova,BE,17.83,114.9,97.0,-.040
UNLV,MWC,17.75,110.6,92.9,.003
Michigan,B10,17.69,112.8,95.1,-.014
Georgetown,BE,17.65,114.2,96.6,.048
Kansas St.,B12,17.42,111.1,93.6,.010
Vanderbilt,SEC,17.33,116.6,99.2,-.050
Temple,A10,16.84,110.5,93.7,.014
Florida St.,ACC,16.76,104.5,87.7,-.017
Butler,Horz,16.46,112.3,95.9,.033
Gonzaga,WCC,16.45,112.1,95.6,-.007
Xavier,A10,16.02,112.8,96.8,.035
Richmond,A10,16.01,112.6,96.5,.052
Virginia Tech,ACC,15.91,109.7,93.7,-.029
St. John's,BE,15.87,111.2,95.3,.047
Missouri,B12,15.54,113.4,97.8,-.013
Saint Mary's,WCC,15.49,117.2,101.7,-.027
Maryland,ACC,15.27,109.7,94.4,-.091
Michigan St.,B10,15.08,109.5,94.4,.010
Penn St.,B10,14.88,113.1,98.3,.037
New Mexico,MWC,14.70,111.9,97.2,-.070
Old Dominion,CAA,14.66,110.0,95.4,.059
Texas A&M,B12,14.62,110.0,95.4,.050
Northwestern,B10,14.03,116.8,102.7,.008
Alabama,SEC,13.70,104.6,90.9,-.003
UCLA,P10,13.57,108.7,95.1,.033
VCU,CAA,13.49,112.0,98.5,.021
Colorado,B12,13.45,117.7,104.3,-.027
Duquesne,A10,13.36,108.0,94.7,-.149
Oakland,Sum,13.31,118.6,105.3,.021
USC,P10,13.29,107.9,94.6,-.050
Minnesota,B10,13.15,110.5,97.4,-.018
Seton Hall,BE,12.93,104.4,91.5,-.117
Washington St.,P10,12.78,108.1,95.3,.002
Miami FL,ACC,12.59,112.8,100.2,-.050
Tennessee,SEC,12.41,108.0,95.6,-.013
Georgia,SEC,12.24,108.2,95.9,-.003
Nebraska,B12,11.82,104.9,93.1,-.049
UAB,CUSA,11.64,108.8,97.2,.025
Iona,MAAC,11.61,113.6,102.0,-.086
Boston College,ACC,11.36,116.8,105.5,.048
Cleveland St.,Horz,11.06,109.1,98.0,.032
Missouri St.,MVC,11.06,114.0,102.9,.025
College of Charleston,SC,10.99,114.5,103.5,-.014
Harvard,Ivy,10.61,112.4,101.8,.051
UTEP,CUSA,10.39,105.0,94.6,-.009
Oklahoma St.,B12,10.22,106.7,96.5,.041
Southern Miss,CUSA,10.21,112.0,101.8,-.025
California,P10,10.02,109.9,99.8,.036
Mississippi,SEC,9.91,113.0,103.1,-.042
Colorado St.,MWC,9.55,108.6,99.1,.002
Rutgers,BE,9.49,108.6,99.1,-.051
Princeton,Ivy,9.09,107.2,98.1,.091
Baylor,B12,9.04,107.1,98.1,-.044
Iowa St.,B12,8.78,108.1,99.4,-.095
Indiana,B10,8.57,110.3,101.7,-.141
Boise St.,WAC,8.22,108.2,100.0,-.038
