team,conf,adjem,adjo,adjd,luck
Fairfield,MAAC,0.94,99.2,98.2,.082
Yale,Ivy,0.85,100.1,99.2,-.038
South Alabama,SB,0.85,105.4,104.6,-.001
Sam Houston St.,Slnd,0.82,101.5,100.6,.088
Brown,Ivy,0.76,105.6,104.8,.042
Iona,MAAC,0.55,102.2,101.7,-.033
Arkansas St.,SB,0.48,107.7,107.2,-.101
IUPUI,MCon,0.46,102.9,102.5,.071
Old Dominion,CAA,0.30,99.2,98.9,-.113
La Salle,A10,0.27,102.4,102.1,.001
East Carolina,CUSA,0.22,99.3,99.1,-.018
Belmont,ASun,0.18,103.2,103.0,.020
Southern Miss,CUSA,0.16,98.9,98.8,.049
Northwestern,B10,0.05,105.0,104.9,-.003
Ohio,MAC,-0.22,104.5,104.7,.090
Ball St.,MAC,-0.35,106.5,106.8,.012
TCU,CUSA,-0.41,106.0,106.5,-.027
Delaware,CAA,-0.43,99.5,99.9,.007
New Orleans,SB,-0.49,101.7,102.2,.005
Appalachian St.,SC,-0.69,103.5,104.2,.081
Marshall,MAC,-0.77,102.2,102.9,-.027
Mercer,ASun,-0.84,106.4,107.3,.170
Pacific,BW,-0.86,99.9,100.8,-.066
Niagara,MAAC,-0.90,109.5,110.4,.091
Akron,MAC,-0.92,110.0,110.9,-.025
Wagner,NEC,-1.16,104.7,105.9,.049
Eastern Illinois,OVC,-1.29,106.8,108.1,-.008
Cal Poly,BW,-1.38,98.4,99.7,.045
Evansville,MVC,-1.55,105.9,107.5,.048
Boise St.,WAC,-1.56,96.0,97.5,-.032
Bowling Green,MAC,-1.88,98.7,100.6,.050
Oakland,MCon,-2.07,103.7,105.7,.007
Idaho St.,BSky,-2.21,99.6,101.8,.013
New Mexico,MWC,-2.27,107.7,110.0,-.023
Louisiana Tech,WAC,-2.35,101.8,104.1,.035
Cal St. Northridge,BW,-2.53,100.6,103.1,-.019
Northern Arizona,BSky,-2.60,99.5,102.1,.005
Jacksonville St.,ASun,-2.72,103.5,106.2,.065
UT Arlington,Slnd,-2.73,97.8,100.5,.007
Montana,BSky,-2.75,104.3,107.1,-.020
Northern Iowa,MVC,-2.78,102.0,104.8,-.010
Massachusetts,A10,-3.25,96.5,99.8,-.011
Southwest Texas St.,Slnd,-3.28,101.4,104.7,-.035
Maine,AE,-3.32,99.5,102.9,-.099
Binghamton,AE,-3.57,96.7,100.3,.007
Hartford,AE,-3.68,98.2,101.9,.024
Wofford,SC,-3.75,104.2,108.0,.016
Green Bay,Horz,-3.76,103.3,107.1,-.062
Canisius,MAAC,-3.77,99.3,103.0,-.116
Eastern Michigan,MAC,-3.86,104.0,107.8,.057
Loyola Marymount,WCC,-4.09,98.4,102.5,-.021
Samford,ASun,-4.16,101.0,105.1,-.008
Duquesne,A10,-4.17,99.4,103.5,-.015
Portland,WCC,-4.25,98.7,103.0,.011
Washington St.,P10,-4.29,101.5,105.8,-.012
Penn St.,B10,-4.58,98.6,103.2,-.004
Idaho,BW,-4.61,96.4,101.0,.012
McNeese St.,Slnd,-4.78,100.4,105.2,.014
Houston,CUSA,-4.84,93.2,98.0,.021
Marist,MAAC,-5.31,101.4,106.7,.052
Northeastern,AE,-5.33,98.9,104.2,-.004
Illinois St.,MVC,-5.44,99.4,104.9,-.050
Wright St.,Horz,-5.65,102.1,107.7,.016
James Madison,CAA,-5.66,99.5,105.2,-.003
Harvard,Ivy,-5.69,98.3,104.0,-.006
Montana St.,BSky,-5.70,100.2,105.9,-.040
Bucknell,Pat,-5.75,91.1,96.8,-.005
Rider,MAAC,-5.79,99.2,104.9,-.013
Winthrop,BSth,-5.81,97.1,102.9,.055
Lehigh,Pat,-5.94,98.3,104.2,.030
Georgia St.,ASun,-6.14,101.5,107.6,-.033
Drake,MVC,-6.22,101.7,107.9,-.024
Santa Clara,WCC,-6.25,96.9,103.2,.083
FIU,SB,-6.29,95.0,101.3,-.101
Birmingham Southern,BSth,-6.59,100.5,107.1,.035
Quinnipiac,NEC,-6.72,99.1,105.8,.044
Tennessee Martin,OVC,-6.88,100.5,107.3,.042
Georgia Southern,SC,-6.97,102.2,109.2,.081
North Texas,SB,-7.31,99.3,106.6,.006
Furman,SC,-7.37,97.9,105.2,.010
Cal St. Fullerton,BW,-7.48,101.4,108.9,-.008
Colgate,Pat,-7.72,97.4,105.2,.003
Mississippi Valley St.,SWAC,-7.83,104.2,112.0,-.041
Saint Peter's,MAAC,-8.03,100.3,108.3,-.031
Central Connecticut,NEC,-8.04,101.1,109.2,.024
St. Francis NY,NEC,-8.10,100.5,108.6,-.027
Cleveland St.,Horz,-8.12,97.7,105.8,-.011
Hampton,MEAC,-8.14,94.8,102.9,.037
Monmouth,NEC,-8.15,91.9,100.1,.070
Lamar,Slnd,-8.57,92.7,101.3,-.005
South Carolina St.,MEAC,-8.59,96.4,105.0,.115
Centenary,ind,-8.60,103.1,111.7,.031
Sacramento St.,BSky,-8.89,94.1,103.0,.070
Lafayette,Pat,-8.98,101.3,110.3,-.004
UNC Greensboro,SC,-9.03,97.7,106.8,-.118
Prairie View A&M,SWAC,-9.08,97.4,106.5,.127
Charleston Southern,BSth,-9.10,94.2,103.3,-.020
Southeast Missouri St.,OVC,-9.22,102.1,111.3,-.012
Texas A&M Corpus Chris,ind,-9.28,99.0,108.3,.021
Youngstown St.,Horz,-9.31,93.1,102.4,.024
Louisiana Monroe,Slnd,-9.61,94.4,104.0,.013
Hofstra,CAA,-9.69,95.0,104.7,-.031
St. Francis PA,NEC,-9.84,94.3,104.1,.049
Alabama St.,SWAC,-9.95,90.9,100.9,-.025
Fordham,A10,-10.22,97.2,107.4,-.101
Buffalo,MAC,-10.33,95.4,105.8,-.127
Texas Southern,SWAC,-10.45,98.3,108.7,.037
Coastal Carolina,BSth,-10.47,98.4,108.8,-.019
Southeastern Louisiana,Slnd,-10.54,95.7,106.2,.024
Jacksonville,ASun,-10.57,93.4,104.0,.031
Delaware St.,MEAC,-10.69,98.1,108.7,.068
Southern Utah,MCon,-10.77,101.2,111.9,.005
Indiana St.,MVC,-10.79,90.9,101.7,-.028
Jackson St.,SWAC,-10.84,94.0,104.9,-.034
UC Riverside,BW,-10.94,98.8,109.8,.023
Eastern Kentucky,OVC,-10.97,99.5,110.4,-.033
Florida A&M,MEAC,-10.99,98.1,109.1,.081
Stony Brook,AE,-11.06,95.5,106.6,.044
IPFW,ind,-11.14,95.8,106.9,.057
William & Mary,CAA,-11.16,100.7,111.9,.060
UMKC,MCon,-11.32,101.8,113.1,.005
Portland St.,BSky,-11.46,87.2,98.7,-.047
Howard,MEAC,-11.57,97.6,109.2,-.080
Gardner Webb,ASun,-11.64,90.7,102.3,-.065
Alcorn St.,SWAC,-11.79,92.5,104.3,.026
Fairleigh Dickinson,NEC,-11.82,97.2,109.0,.065
San Jose St.,WAC,-11.83,96.1,107.9,.013
Western Carolina,SC,-11.94,98.8,110.7,-.022
UTSA,Slnd,-12.02,93.8,105.8,.032
UNC Asheville,BSth,-12.35,101.2,113.5,.119
Dartmouth,Ivy,-12.45,95.6,108.1,-.058
Robert Morris,NEC,-12.74,103.6,116.3,-.044
LIU Brooklyn,NEC,-12.85,97.8,110.7,-.040
Coppin St.,MEAC,-13.18,94.2,107.4,.002
Florida Atlantic,ASun,-13.37,92.1,105.4,-.032
VMI,SC,-14.10,91.5,105.6,.028
Navy,Pat,-14.11,90.5,104.7,-.030
The Citadel,SC,-14.22,89.8,104.0,-.079
Elon,BSth,-14.35,93.0,107.3,.061
Cornell,Ivy,-15.11,92.5,107.6,.042
Norfolk St.,MEAC,-15.22,88.1,103.4,.022
Long Beach St.,BW,-15.41,96.9,112.3,-.021
UTEP,WAC,-15.62,93.4,109.0,-.032
Liberty,BSth,-15.63,89.0,104.6,.107
Grambling St.,SWAC,-16.05,95.7,111.8,.040
Mount St. Mary's,NEC,-16.16,90.5,106.7,.103
Lipscomb,ind,-16.28,98.8,115.1,-.116
Stetson,ASun,-16.30,95.5,111.8,-.013
Texas Pan American,ind,-16.39,89.5,105.9,-.029
Sacred Heart,NEC,-16.77,93.9,110.7,-.003
UMBC,NEC,-16.78,90.0,106.8,-.057
Northwestern St.,Slnd,-16.93,85.2,102.1,.001
Western Illinois,MCon,-17.26,93.5,110.7,.050
High Point,BSth,-17.75,95.6,113.4,-.030
Chicago St.,MCon,-18.22,93.2,111.4,-.037
Alabama A&M,SWAC,-18.25,90.0,108.2,-.087
New Hampshire,AE,-18.50,94.0,112.5,-.037
Albany,AE,-18.51,94.8,113.3,.050
Southern,SWAC,-18.97,90.1,109.0,-.108
Radford,BSth,-19.59,88.6,108.2,.067
Bethune Cookman,MEAC,-22.40,89.4,111.8,-.018
Loyola MD,MAAC,-22.70,87.7,110.4,.001
Columbia,Ivy,-22.93,82.7,105.7,-.032
Towson,CAA,-23.81,84.6,108.4,-.015
Campbell,ASun,-24.53,92.2,116.7,-.012
Maryland Eastern Shore,MEAC,-24.66,91.4,116.1,-.055
Morgan St.,MEAC,-25.36,92.1,117.4,-.018
Nicholls St.,Slnd,-25.55,87.5,113.0,-.082
Arkansas Pine Bluff,SWAC,-25.62,77.2,102.9,.014
Army,Pat,-25.67,85.6,111.3,.026
Savannah St.,ind,-26.95,78.2,105.2,-.003
Morris Brown,ind,-27.55,86.9,114.4,.003
Tennessee St.,OVC,-27.80,91.0,118.8,-.008
North Carolina A&T,MEAC,-35.37,84.1,119.4,-.013
