team,conf,adjem,adjo,adjd,luck
Kentucky,SEC,29.18,116.5,87.4,.051
Kansas,B12,28.62,115.0,86.4,-.017
Pittsburgh,BE,28.61,114.8,86.2,-.023
Arizona,P10,26.80,115.6,88.8,-.007
Illinois,B10,24.47,113.2,88.7,-.029
Duke,ACC,23.75,115.0,91.3,-.030
Texas,B12,23.49,119.3,95.8,-.009
Syracuse,BE,23.28,114.4,91.1,.083
Oklahoma,B12,23.01,112.1,89.1,.034
Louisville,CUSA,22.75,115.8,93.0,-.029
Florida,SEC,22.14,116.5,94.4,.008
Wisconsin,B10,22.07,114.4,92.4,-.024
Maryland,ACC,22.00,110.9,88.9,-.078
Mississippi St.,SEC,21.53,107.4,85.8,-.060
Marquette,CUSA,21.30,120.5,99.2,.070
Georgia,SEC,20.93,120.9,99.9,.012
Saint Joseph's,A10,20.75,109.0,88.3,-.049
Notre Dame,BE,20.31,116.5,96.2,.009
Michigan St.,B10,20.26,110.1,89.9,-.050
Xavier,A10,19.88,113.8,94.0,.018
Wake Forest,ACC,19.87,114.5,94.6,.073
Connecticut,BE,19.54,111.6,92.0,.005
LSU,SEC,18.15,111.0,92.8,-.035
BYU,MWC,17.68,109.4,91.7,-.031
Oklahoma St.,B12,17.67,105.9,88.2,.003
Creighton,MVC,17.54,112.4,94.9,.026
Purdue,B10,17.42,107.0,89.6,-.012
Missouri,B12,17.32,111.5,94.2,.043
Memphis,CUSA,16.72,110.9,94.1,.005
Arizona St.,P10,16.49,113.9,97.4,-.014
Butler,Horz,16.09,115.4,99.3,.073
Texas Tech,B12,15.89,109.3,93.4,-.027
Gonzaga,WCC,15.58,113.2,97.7,-.021
Colorado,B12,15.27,109.1,93.8,.001
Georgetown,BE,14.91,107.1,92.2,-.101
Cincinnati,CUSA,14.69,105.0,90.3,-.069
UNC Wilmington,CAA,14.62,109.5,94.9,-.031
Alabama,SEC,14.60,110.3,95.7,-.015
Stanford,P10,14.57,109.8,95.2,.066
Dayton,A10,14.53,116.4,101.9,.084
Indiana,B10,14.48,113.4,98.9,.050
Oregon,P10,14.25,111.4,97.1,.032
Georgia Tech,ACC,14.23,109.1,94.8,-.092
Utah,MWC,14.04,106.6,92.6,.069
Providence,BE,13.85,108.0,94.1,-.051
Auburn,SEC,13.63,107.7,94.1,.051
California,P10,13.59,109.9,96.3,.061
Penn,Ivy,13.35,110.3,96.9,.035
Boston College,BE,13.30,117.7,104.4,.034
North Carolina St.,ACC,13.18,111.2,98.1,-.023
Tulsa,WAC,13.04,107.9,94.9,-.061
Milwaukee,Horz,12.97,109.0,96.0,.025
Seton Hall,BE,12.26,104.6,92.3,.022
North Carolina,ACC,12.15,107.9,95.8,.024
Southern Illinois,MVC,11.76,110.3,98.6,.063
Western Kentucky,SB,11.75,108.0,96.3,.035
Villanova,BE,11.17,106.6,95.4,-.059
Tennessee,SEC,10.99,108.0,97.0,.026
Mississippi,SEC,10.89,111.2,100.3,-.099
Kansas St.,B12,10.87,107.9,97.0,-.154
Michigan,B10,10.71,109.0,98.3,.024
Illinois Chicago,Horz,10.64,110.5,99.9,.024
Detroit,Horz,10.60,109.6,99.0,-.089
Iowa St.,B12,10.59,106.3,95.7,-.045
Louisiana Lafayette,SB,10.52,107.9,97.4,-.014
Holy Cross,Pat,10.40,105.5,95.1,.065
St. John's,BE,10.06,105.4,95.3,.035
Manhattan,MAAC,10.04,105.5,95.4,.014
DePaul,CUSA,10.04,105.1,95.1,-.004
Central Michigan,MAC,10.01,109.5,99.4,.137
UNLV,MWC,9.84,108.1,98.2,.022
Minnesota,B10,9.68,107.4,97.7,.018
UAB,CUSA,9.45,105.2,95.8,-.008
Temple,A10,9.34,108.0,98.6,.028
Ohio St.,B10,8.93,103.2,94.3,.052
Weber St.,BSky,8.88,111.4,102.5,.073
Florida St.,ACC,8.84,100.9,92.0,-.052
Iowa,B10,8.50,106.4,97.9,-.018
Saint Louis,CUSA,8.34,104.1,95.8,.026
San Diego,WCC,8.32,104.7,96.4,.003
South Carolina,SEC,8.31,103.1,94.8,-.028
Virginia,ACC,8.20,108.8,100.6,.026
Nevada,WAC,8.19,108.0,99.9,-.097
St. Bonaventure,A10,8.07,112.8,104.8,-.070
Southwest Missouri St.,MVC,8.04,100.6,92.5,-.075
Western Michigan,MAC,7.66,101.7,94.0,.015
New Mexico St.,SB,7.51,107.7,100.2,-.005
Utah St.,BW,7.41,107.1,99.7,.003
Texas A&M,B12,6.97,104.4,97.4,.022
Vanderbilt,SEC,6.78,103.7,96.9,-.049
USC,P10,6.74,105.2,98.4,-.055
San Diego St.,MWC,6.69,108.0,101.3,-.023
Valparaiso,MCon,6.66,103.7,97.1,.021
Kent St.,MAC,6.51,111.2,104.7,.023
UC Santa Barbara,BW,6.46,104.2,97.7,-.080
Wyoming,MWC,6.34,108.5,102.2,.081
Richmond,A10,6.28,101.4,95.2,-.037
Fresno St.,WAC,6.26,105.2,98.9,.061
Troy St.,ASun,6.15,106.9,100.8,.105
Miami FL,BE,6.10,103.3,97.2,-.118
Rutgers,BE,6.01,100.9,94.9,-.041
Baylor,B12,5.97,106.6,100.7,-.006
Charlotte,CUSA,5.97,104.5,98.5,-.007
Colorado St.,MWC,5.96,110.6,104.6,.031
Clemson,ACC,5.75,107.3,101.6,.026
Murray St.,OVC,5.53,107.3,101.8,-.082
UCLA,P10,5.46,107.2,101.7,-.065
Tulane,CUSA,5.36,106.8,101.4,-.064
Eastern Washington,BSky,5.29,102.9,97.6,-.031
George Washington,A10,5.18,107.2,102.1,-.078
Drexel,CAA,5.02,101.7,96.7,.013
Rice,WAC,4.73,105.8,101.1,.063
West Virginia,BE,4.71,104.7,99.9,.055
South Florida,CUSA,4.49,101.3,96.8,.007
Hawaii,WAC,4.33,102.9,98.5,.057
Rhode Island,A10,4.33,101.6,97.3,.112
George Mason,CAA,4.26,98.1,93.8,-.022
San Francisco,WCC,4.19,109.1,104.9,-.020
UC Irvine,BW,4.10,103.6,99.5,.077
College of Charleston,SC,4.08,102.5,98.4,.079
VCU,CAA,4.06,103.4,99.3,-.009
Siena,MAAC,3.89,105.3,101.4,-.013
Tennessee Tech,OVC,3.86,102.8,99.0,-.016
Loyola Chicago,Horz,3.85,105.7,101.9,-.015
Boston University,AE,3.64,102.4,98.7,.013
Middle Tennessee St.,SB,3.36,103.8,100.5,-.006
Chattanooga,SC,3.34,110.6,107.3,.034
Oregon St.,P10,3.21,100.7,97.5,.006
UCF,ASun,3.18,102.9,99.7,-.032
Washington,P10,3.12,102.6,99.4,-.057
Wichita St.,MVC,3.05,107.7,104.6,.050
Toledo,MAC,3.03,103.6,100.6,-.043
Princeton,Ivy,2.99,109.2,106.2,-.027
Arkansas,SEC,2.95,98.0,95.1,-.038
Austin Peay,OVC,2.65,100.7,98.0,.171
Denver,SB,2.53,102.4,99.8,-.027
Northern Illinois,MAC,2.52,104.6,102.1,.050
Nebraska,B12,2.47,97.4,94.9,.014
Miami OH,MAC,2.42,101.1,98.7,-.027
SMU,WAC,2.36,103.6,101.2,.070
Virginia Tech,BE,2.34,106.3,104.0,-.044
Saint Mary's,WCC,2.18,98.5,96.3,-.045
Davidson,SC,2.18,103.2,101.0,.004
Stephen F. Austin,Slnd,2.14,105.6,103.5,.003
Bradley,MVC,1.95,103.1,101.2,-.125
American,Pat,1.95,103.6,101.6,-.101
East Tennessee St.,SC,1.75,101.3,99.6,.036
Pepperdine,WCC,1.69,110.2,108.5,.042
Arkansas Little Rock,SB,1.63,102.3,100.7,.035
Vermont,AE,1.57,101.1,99.5,.019
Morehead St.,OVC,1.53,109.6,108.1,.048
Air Force,MWC,1.27,105.2,104.0,-.073
Oral Roberts,MCon,1.21,104.6,103.4,-.030
