date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,linesaggm,linemoore,lineopen,linedok,linefox,std,linepugh,linedonc,neutral,lineashby,lineespn,linepir,linepiw,linepib,line7ot,lineer,linedd,linemassey,linedunk,lineround,lineteamrnks
11/11/2016,Navy,68,Ohio St.,78,-16.5,-11.77,-15.06,-15.06,-15.06,-15.06,-10.07,-14,-11.83,-6,3.17,-12.14,-8.8,0,,-9.89,,,,,,,-10.46,,,
11/11/2016,New Mexico,81,Idaho St.,70,17,15.74,16.16,16.16,16.16,16.16,16.12,15,17.78,12,1.55,17.06,15.2,0,,15.03,,,,,,,15.27,,,
11/11/2016,Niagara,66,Buffalo,76,-6,-8.75,-8.25,-8.25,-8.25,-8.25,-11.51,-5.5,-6.26,-9,1.74,-10.41,-8.7,0,,-6.07,,,,,,,-11.33,,,
11/11/2016,North Carolina St.,81,Georgia Southern,79,13,16.13,17.43,17.43,17.43,17.43,14.31,11.5,18.35,12,2.47,17.28,16.7,0,,13.32,,,,,,,15.79,,,
11/11/2016,North Dakota St.,76,Arkansas St.,66,12,11.27,9.92,9.92,9.92,9.92,18.43,13.5,11.04,11,2.77,9.78,9.5,0,,14.31,,,,,,,10.21,,,
11/11/2016,Northern Illinois,80,Indiana St.,78,6,2.91,2.12,2.12,2.12,2.12,4.16,6,0.91,7,2.02,2.63,1.3,0,,4.64,,,,,,,2.86,,,
11/11/2016,Oakland,78,Bowling Green,70,9,12.21,10.07,10.07,10.07,10.07,16.32,9,11.49,18,3,13.17,13.1,0,,10.99,,,,,,,10.93,,,
11/11/2016,Old Dominion,62,James Madison,55,4,4.64,3.69,3.69,3.69,3.69,4.88,5,7.98,6,1.43,3.39,5,0,,3.91,,,,,,,5.14,,,
11/11/2016,Oregon,91,Army,77,31.5,29.81,28.4,28.4,28.4,28.4,45.81,30.5,28.01,33,6.01,27.14,23.4,0,,28.25,,,,,,,28.72,,,
11/11/2016,Pepperdine,77,Cal Poly SLO,68,8.5,10.75,14.14,14.14,14.14,14.14,16.36,8,5.42,10,3.58,8.48,9.6,0,,5.23,,,,,,,6.63,,,
11/11/2016,Pittsburgh,93,Eastern Michigan,90,11.5,11.93,9.99,9.99,9.99,9.99,9.19,12,12.48,15,2.62,15.66,15.9,0,,8.93,,,,,,,14.08,,,
11/11/2016,Portland,71,Cal Riverside,55,7,5.72,5.24,5.24,5.24,5.24,7.91,6.5,8.39,4,1.35,6.66,5.6,0,,5.77,,,,,,,3.64,,,
11/11/2016,Rhode Island,84,Dartmouth,61,18.5,14.56,16.26,16.26,16.26,16.26,14.4,17.5,12.78,11,2.03,15.83,13.4,0,,14.03,,,,,,,13.71,,,
11/11/2016,Richmond,72,VMI,69,17,17.99,18.71,18.71,18.71,18.71,16.26,16,19.39,17,2,22.6,16.2,0,,13.22,,,,,,,18.42,,,
11/11/2016,Saint Louis,64,Ball St.,85,-4,0.01,-0.59,-0.59,-0.59,-0.59,-1.75,-2.5,3.04,-4,1.84,0.41,-0.8,0,,3.77,,,,,,,1.79,,,
11/11/2016,San Diego St.,69,San Diego,59,19,21.5,22.96,22.96,22.96,22.96,27.23,21,18.72,22,2.35,20.3,20,0,,16.68,,,,,,,19.75,,,
11/11/2016,San Francisco,82,Illinois-Chicago,80,5,7.44,1.78,1.78,1.78,1.78,2.82,4.5,12.43,13,5.7,13.97,13.8,0,,7.24,,,,,,,11.47,,,
11/11/2016,Santa Clara,67,Northern Arizona,64,12.5,14.22,15.81,15.81,15.81,15.81,20.43,13.5,12.46,14,2.28,13.31,13.6,0,,9.18,,,,,,,10.23,,,
11/11/2016,South Carolina,85,Louisiana Tech,76,10,11.78,12.08,12.08,12.08,12.08,16.22,12,9.57,10,1.85,13.32,10.8,0,,8.57,,,,,,,12.81,,,
11/11/2016,Southern Illinois,81,Wright St.,85,5.5,5.25,5.75,5.75,5.75,5.75,8.15,4.5,4.06,0.01,2.09,4.99,3.9,0,,9.6,,,,,,,4.02,,,
11/11/2016,St. Mary's,81,Nevada,63,11.5,9.7,7.72,7.72,7.72,7.72,10.19,12.5,13.59,10,2.36,13.01,11.1,0,,8.47,,,,,,,9.45,,,
11/11/2016,Stanford,80,Harvard,70,4,4.04,2.3,2.3,2.3,2.3,5.77,4,3.06,2,2.24,7.93,7.2,1,,3.88,,,,,,,5.43,,,
11/11/2016,Temple,97,La Salle,92,-2.5,8.98,6,6,6,6,4.18,4,11.48,15,4.41,14.05,13.9,0,,3.23,,,,,,,12.96,,,
11/11/2016,Tennessee,69,Chattanooga,82,3,5.39,5.38,5.38,5.38,5.38,1.56,4,7.01,7,1.86,7.72,3.3,0,,3.3,,,,,,,7.85,,,
11/11/2016,Texas A&M,72,Northwestern St.,44,21,24.26,22.65,22.65,22.65,22.65,20.53,22,25.06,33,4.55,33.43,25,0,,6.71,,,,,,,32.52,,,
11/11/2016,Tulane,75,North Carolina,95,-21,-21.03,-21.59,-21.59,-21.59,-21.59,-30.58,-21,-17.25,-24,3.83,-20.92,-16.5,0,,-13.38,,,,,,,-22.38,,,
11/11/2016,Tulsa,73,Jacksonville St.,84,12,16.94,14.45,14.45,14.45,14.45,17.21,13,20,19,3.23,22.11,20.6,0,,9.51,,,,,,,20.07,,,
11/11/2016,UC Davis,64,Tennessee St.,78,-2.5,-1.59,-0.44,-0.44,-0.44,-0.44,-6.57,-5.5,-0.37,-2,2.51,-0.86,-5.2,1,,0.06,,,,,,,-0.78,,,
11/11/2016,UC Irvine,56,Utah St.,72,4.5,5.87,5.26,5.26,5.26,5.26,4.81,5,7.78,9,1.44,5.17,7.1,0,,3.43,,,,,,,6.21,,,
11/11/2016,UCLA,119,Pacific,80,17,16.14,16.73,16.73,16.73,16.73,15.32,18.5,17.24,12,1.71,16.89,16.1,0,,17.21,,,,,,,15.84,,,
11/11/2016,UNLV,68,South Alabama,76,6,10.19,8.29,8.29,8.29,8.29,4.39,7,13.72,10,3.76,16.31,14.6,0,,7.6,,,,,,,12.27,,,
11/11/2016,USC,75,Montana,61,11.5,12.71,13.77,13.77,13.77,13.77,15.11,10.5,10.87,12,1.55,14.77,13.2,0,,5.59,,,,,,,13.24,,,
11/11/2016,Valparaiso,79,Southern Utah,65,23,25.3,25.39,25.39,25.39,25.39,32.9,23,24.25,29,3.04,28.76,23.5,0,,11.62,,,,,,,26.72,,,
11/11/2016,Villanova,88,Lafayette,48,34.5,35.65,31.91,31.91,31.91,31.91,43.47,32,32.56,43,4.73,38.65,34.9,0,,31.22,,,,,,,40.68,,,
11/11/2016,Washington St.,69,Montana St.,65,9.5,10.07,10.94,10.94,10.94,10.94,10.06,9.5,11.41,6,1.57,10.71,10,0,,8.53,,,,,,,10.25,,,
11/12/2016,Butler,89,Northern Colorado,52,28,24.81,23.51,23.18,23.61,23.35,30.82,24,23.29,26,2.79,29.06,22.9,0,,20.16,,,,,,,27.07,,,
11/12/2016,Cleveland St.,74,Kent St.,79,-1,-4.41,-4.5,-4.44,-4.53,-4.47,-3.09,-1.5,-4.31,-8,1.9,-6.02,-7.3,1,,2.68,,,,,,,-4.53,,,
11/12/2016,Davidson,86,Appalachian St.,74,15,17.37,17.8,17.57,17.87,17.69,21.84,15,16.74,15,2.17,17.55,14.1,0,,20.52,,,,,,,14.36,,,
11/12/2016,George Mason,61,Towson,67,0,1.28,0.79,0.83,0.77,0.81,0.77,2,2.41,0.01,0.95,2.28,-0.5,0,,3.47,,,,,,,2.39,,,
11/12/2016,LSU,91,Wofford,69,8,10.98,9.88,9.78,9.91,9.82,13.19,9,12.65,11,1.81,14.34,12.3,0,,4.85,,,,,,,13.11,,,
11/12/2016,Santa Clara,58,UC Davis,63,6,7,7.25,9.33,6.54,8.42,14.32,6.5,7.94,2,3.4,3.16,5.5,0,,8.99,,,,,,,3.56,,,
11/12/2016,St. Joseph's PA,77,Toledo,76,3,8.11,7.05,6.99,7.07,7.02,6.5,5.5,9.35,12,2.33,10.67,11.6,0,,0.06,,,,,,,10.95,,,
11/12/2016,Tennessee St.,69,Northern Arizona,65,10,9.8,10.56,12.62,9.93,11.75,12.13,11,6.59,14,1.98,11.01,12.1,1,,-2,,,,,,,9.12,,,
