"date","home","hscore","road","rscore","line","lineavg","linesag","linesage","linesagp","linepom","linemoore","linemass","linegreen","linedunk","lineargh","linesauce","linemarkov","linerpi"
"11/28/2003","San Diego",68,"SMU",65,-5.0,0.51,5.18,5.18,5.18,-9.02,-0.92,-2.55,".",".",".",".",".","."
"11/28/2003","Tennessee",81,"Tennessee St.",56,28.0,30.49,27.95,27.95,27.95,27.49,34.91,36.70,".",".",".",".",".","."
"11/28/2003","Kentucky",108,"Tennessee Tech",81,26.0,21.90,19.69,19.69,19.69,18.94,29.35,24.01,".",".",".",".",".","."
"11/28/2003","Connecticut",76,"Utah",44,11.0,6.38,3.61,3.61,3.61,8.11,13.78,5.58,".",".",".",".",".","."
"11/28/2003","Virginia",80,"Virginia Tech",65,3.5,9.96,12.50,12.50,12.50,4.95,9.60,7.74,".",".",".",".",".","."
"11/29/2003","Providence",76,"Alabama",71,8.0,3.50,0.13,0.13,0.13,3.38,13.32,3.89,".",".",".",".",".","."
"11/29/2003","Memphis",74,"Austin Peay",60,14.0,15.08,13.60,13.60,13.60,14.90,21.45,13.32,".",".",".",".",".","."
"11/29/2003","Bradley",69,"Bowling Green",56,3.5,2.38,0.83,0.83,0.83,-0.07,6.02,5.84,".",".",".",".",".","."
"11/29/2003","Cal St. Fullerton",71,"CS Sacramento",78,7.5,4.46,4.74,4.74,4.74,4.33,5.98,2.20,".",".",".",".",".","."
"11/29/2003","Arizona St.",77,"Cal Riverside",68,18.5,22.52,21.12,21.12,21.12,18.72,26.71,26.30,".",".",".",".",".","."
"11/29/2003","UNLV",59,"California",57,-1.0,0.05,0.20,0.20,0.20,-2.25,1.18,0.75,".",".",".",".",".","."
"11/29/2003","Drake",69,"Colorado St.",76,-1.5,-4.24,-2.65,-2.65,-2.65,-3.75,-6.54,-7.22,".",".",".",".",".","."
"11/29/2003","Nebraska",67,"Eastern Michigan",59,15.0,11.69,11.97,11.97,11.97,11.64,13.51,9.09,".",".",".",".",".","."
"11/29/2003","Washington",104,"Eastern Washington",91,8.0,7.02,4.93,4.93,4.93,8.75,12.56,6.02,".",".",".",".",".","."
"11/29/2003","Manhattan",90,"Fordham",77,21.0,16.98,13.54,13.54,13.54,19.01,19.38,22.87,".",".",".",".",".","."
"11/29/2003","Santa Clara",69,"Fresno St.",64,-1.0,-3.79,-4.14,-4.14,-4.14,-2.55,-1.80,-5.95,".",".",".",".",".","."
"11/29/2003","Iona",83,"George Mason",92,2.0,0.59,0.83,0.83,0.83,-1.60,1.12,1.54,".",".",".",".",".","."
"11/29/2003","Gonzaga",82,"Georgia",76,12.0,3.50,3.39,3.39,3.39,5.54,3.78,1.54,".",".",".",".",".","."
"11/29/2003","Maryland",87,"Hofstra",72,19.5,24.85,24.29,24.29,24.29,27.03,23.81,25.41,".",".",".",".",".","."
"11/29/2003","Montana St.",71,"Idaho",65,-2.0,6.01,7.61,7.61,7.61,5.87,3.19,4.14,".",".",".",".",".","."
"11/29/2003","Temple",60,"Illinois",75,-1.0,-6.57,-3.05,-3.05,-3.05,-13.17,-5.76,-11.34,".",".",".",".",".","."
"11/29/2003","Utah St.",89,"Illinois St.",84,15.5,11.49,10.70,10.70,10.70,12.83,10.56,13.44,".",".",".",".",".","."
"11/29/2003","DePaul",78,"Indiana St.",66,11.0,10.48,7.74,7.74,7.74,7.52,16.20,15.96,".",".",".",".",".","."
"11/29/2003","Louisville",69,"Iowa",70,6.5,3.81,3.95,3.95,3.95,0.45,0.56,9.97,".",".",".",".",".","."
"11/29/2003","SW Missouri St.",63,"Kent St.",64,6.0,1.98,-0.67,-0.67,-0.67,1.71,7.00,5.19,".",".",".",".",".","."
"11/29/2003","Portland",65,"Long Beach St.",59,11.0,8.45,5.46,5.46,5.46,8.85,15.44,10.02,".",".",".",".",".","."
"11/29/2003","Wyoming",84,"Middle Tenn St.",63,12.0,10.64,12.50,12.50,12.50,11.06,9.75,5.52,".",".",".",".",".","."
"11/29/2003","Western Kentucky",75,"Mississippi St.",81,-2.0,-2.56,-0.79,-0.79,-0.79,-6.80,-1.96,-4.21,".",".",".",".",".","."
"11/29/2003","Marshall",85,"Morehead St.",71,2.5,5.68,5.71,5.71,5.71,5.40,7.25,4.28,".",".",".",".",".","."
"11/29/2003","East Tennessee St.",67,"NC Wilmington",62,1.0,0.86,4.08,4.08,4.08,-0.03,-4.05,-2.99,".",".",".",".",".","."
"11/29/2003","Cleveland St.",76,"North Carolina",82,-11.5,-10.71,-7.29,-7.29,-7.29,-10.83,-18.67,-12.89,".",".",".",".",".","."
"11/29/2003","Wichita St.",68,"Northern Arizona",51,11.5,7.71,6.99,6.99,6.99,5.25,13.29,6.78,".",".",".",".",".","."
"11/29/2003","Buffalo",64,"Penn St.",67,3.5,-2.51,-2.15,-2.15,-2.15,-7.18,-0.32,-1.10,".",".",".",".",".","."
"11/29/2003","Michigan St.",77,"Pennsylvania",52,14.5,12.19,11.10,11.10,11.10,11.29,17.95,10.62,".",".",".",".",".","."
"11/29/2003","Oklahoma St.",84,"Pepperdine",82,8.0,12.52,11.76,11.76,11.76,8.69,12.53,18.61,".",".",".",".",".","."
"11/29/2003","UTEP",70,"Portland St.",57,4.0,5.08,5.08,5.08,5.08,5.66,8.88,0.71,".",".",".",".",".","."
