date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,linesaggm,linemoore,lineopen,linedok,linefox,std,linepugh,linedonc,neutral,linetalis,lineespn,linepir,linepiw,linepib,line7ot,lineer,linedd,linemassey,linedunk,lineround,lineteamrnks
11/10/2017,Arizona,101,Northern Arizona,67,34.5,31.12,33.07,33.07,33.07,33.07,25.16,34.5,31.84,31,3.78,35.02,25.8,0,32,23.47,,,,,,,34.67,,,33.3
11/10/2017,Arizona St.,94,Idaho St.,74,19.5,20.27,21.75,21.75,21.75,21.75,22.01,19.5,16.36,20,2.05,22.26,21.3,0,18.4,16.68,,,,,,,20.66,,,18.9
11/10/2017,Arkansas,95,Samford,56,10,15.19,14.3,14.3,14.3,14.3,18.97,11,17.1,17,2.43,17.79,13.3,0,16.5,10.17,,,,,,,16.79,,,12.6
11/10/2017,California,66,Cal Riverside,74,14,16.93,15.83,15.83,15.83,15.83,9.72,12.5,17.06,21,4.97,24.91,18.8,0,21.7,6.48,,,,,,,21.54,,,15.5
11/10/2017,Central Florida,88,Mercer,79,7.5,9.59,9.38,9.38,9.38,9.38,11.24,8,6.06,10,1.36,11.34,9.6,0,10.5,8.28,,,,,,,10.63,,,9.5
11/10/2017,Charleston,68,Siena,60,17.5,10.15,9.62,9.62,9.62,9.62,17.9,16,6.76,10,3.52,8.13,7.6,0,7.4,13.1,,,,,,,6.49,,,16.1
11/10/2017,Clemson,85,Western Carolina,57,20.5,21.87,21.04,21.04,21.04,21.04,20.34,20.5,23.63,23,3.05,26.18,17.5,0,27.7,16.72,,,,,,,23.7,,,21.4
11/10/2017,Colorado,66,Northern Colorado,51,10,15.53,16.25,16.25,16.25,16.25,6.51,11,17.87,20,4.55,21.97,15.6,0,17.4,7.16,,,,,,,18.73,,,11.7
11/10/2017,Colorado St.,72,CS Sacramento,61,17,15.03,15.49,15.49,15.49,15.49,16.99,16.5,11.62,15,1.9,18.92,13.7,0,15.8,12.42,,,,,,,15.52,,,13.4
11/10/2017,Creighton,92,Yale,76,8.5,12.5,12.04,12.04,12.04,12.04,10.8,9,9.18,14,2.32,16.78,13,0,15.9,8.5,,,,,,,13.73,,,12.4
11/10/2017,Dayton,78,Ball St.,77,5.5,11.23,11.32,11.32,11.32,11.32,9.66,5.5,13.71,13,3.66,16.55,10.7,0,15,1.43,,,,,,,12.37,,,8.3
11/10/2017,Drexel,69,Bowling Green,78,5,2.52,2,2,2,2,3.7,5,-1.57,3,2.15,1.73,0.9,0,3,6.92,,,,,,,1.14,,,5.9
11/10/2017,Duke,97,Elon,68,19.5,20.79,23.74,23.74,23.74,23.74,12.38,18.5,24.34,20,3.88,21.45,21,0,22.4,13.14,,,,,,,20.66,,,20
11/10/2017,Evansville,77,Arkansas St.,63,4.5,2.6,4.07,4.07,4.07,4.07,-7.48,5.5,3.5,5,3.42,5.7,2.3,0,0.1,0.84,,,,,,,4.7,,,2.9
11/10/2017,Fordham,54,Miami-Ohio,55,9,7.28,6.83,6.83,6.83,6.83,3.18,9,5.45,7,1.75,9.17,9,0,8.1,9.79,,,,,,,6.99,,,8.7
