date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,neutral,lineseven,linemoore,linepugh,lineopen,linedok,linefox,linepig
11/08/2013,Army,68,Air Force,79,3.5,-2.16,-0.97,-0.97,-0.97,1,,1.09,-5.64,1,-5.76,-2,6
11/08/2013,North Carolina St.,98,Appalachian St.,77,14,18.23,16.78,16.78,16.78,0,,12.64,23.99,15.5,19.13,18,15.5
11/08/2013,Providence,82,Boston College,78,3,3.55,3.5,3.5,3.5,0,,-5,6.43,4,7.48,3,2.5
11/08/2013,Texas A&M,82,Buffalo,58,6,7.65,5.68,5.68,5.68,0,,5.35,9.21,6.5,9.77,9,4.5
11/08/2013,Arizona,73,Cal Poly SLO,62,16.5,18.89,17.58,17.58,17.58,0,,15.39,19.24,17.5,17.82,20,26.5
11/08/2013,San Diego St.,77,Cal Riverside,41,19,23.46,21.2,21.2,21.2,0,,21.61,25.38,18,23.76,23,21.5
11/08/2013,VMI,82,Citadel,71,10,7.56,8.14,8.14,8.14,0,,5.08,5.51,9.5,7.12,8,9.5
11/08/2013,Baylor,72,Colorado,60,3,5.36,3.66,3.66,3.66,1,,8.23,7.28,4.5,4.06,8,4
11/08/2013,Syracuse,82,Cornell,60,25,28.39,25.41,25.41,25.41,0,,36.85,28.94,23.5,25.49,30,29
11/08/2013,Duke,111,Davidson,77,16,16.51,20.18,20.18,20.18,0,,13.05,15.29,14.5,15.34,8,23
11/08/2013,Richmond,71,Delaware,69,9.5,10.42,10.2,10.2,10.2,0,,11.17,9.54,9,11.77,12,9.5
11/08/2013,South Alabama,74,Detroit,58,6,-0.03,1.98,1.98,1.98,0,,-0.05,-5.42,5,-4.69,-4,9
11/08/2013,UCLA,72,Drexel,67,7.5,13.62,12.13,12.13,12.13,0,,11.86,14.48,9,11.85,11,17.5
11/08/2013,Nebraska,79,Florida Gulf Coast,55,3,2.56,4.2,4.2,4.2,0,,-0.82,4.06,1,5.85,-1,-3
11/08/2013,Eastern Kentucky,83,Florida International,61,5.5,6.51,6.06,6.06,6.06,1,,11.22,5.64,4.5,4.07,5,10
11/08/2013,UC Irvine,97,Fresno St.,98,6.5,0.32,2.59,2.59,2.59,0,,-7.59,-0.84,2,1.29,0.01,1.5
11/08/2013,Loyola Marymount,78,Grand Canyon,75,12.5,16.27,23.91,23.91,23.91,1,,,12.99,8,9.83,14,13
11/08/2013,VA Commonwealth,96,Illinois St.,58,21.5,14.68,13.33,13.33,13.33,0,,25.03,8.22,19,10.99,12,21.5
11/08/2013,Bradley,72,Jacksonville St.,65,10.5,8.29,8.81,8.81,8.81,0,,7.91,7.41,8,6.91,5,13.5
11/08/2013,Bradley,72,Jacksonville St.,51,10.5,8.29,8.81,8.81,8.81,0,,7.91,7.41,8,6.91,5,13.5
11/08/2013,Virginia,61,James Madison,41,23,17.37,18.06,18.06,18.06,0,,25,17.43,19.5,14.9,13,19.5
11/08/2013,St. Mary's,83,Louisiana Tech,70,5.5,10.71,8.6,8.6,8.6,0,,16.28,12.63,7,14.05,11,5.5
11/08/2013,Kansas,80,Louisiana-Monroe,63,27,35.02,32.86,32.86,32.86,0,,25.31,37.28,28,34.88,37,38
11/08/2013,Connecticut,78,Maryland,77,5,2.85,3.58,3.58,3.58,1,,3,4.35,5,1.83,-1,4.5
11/08/2013,Notre Dame,74,Miami-Ohio,62,19,20.88,17.63,17.63,17.63,0,,24.19,21.52,18.5,19.55,22,19.5
11/08/2013,Hofstra,84,Monmouth,88,6,6.34,6.01,6.01,6.01,0,,7.93,5.28,6.5,7.5,11,9
11/08/2013,Valparaiso,77,Murray St.,74,7,7.32,3.66,3.66,3.66,0,,8.9,7.41,7,6.45,12,6.5
11/08/2013,Iowa,82,NC Wilmington,39,24,23.32,20.93,20.93,20.93,0,,29.08,24.16,25,20.44,23,25
11/08/2013,Northern Illinois,66,Nebraska-Omaha,68,6,1.57,0.01,0.01,0.01,0,,4.63,4.77,5,5.13,4,-2
11/08/2013,Kansas St.,58,Northern Colorado,60,12.5,19.91,17.77,17.77,17.77,0,,16.18,22.81,13.5,21.21,20,14.5
11/08/2013,North Carolina,84,Oakland,61,16,20.19,17.37,17.37,17.37,0,,22.75,21.65,18,18.89,23,21.5
11/08/2013,Alabama,73,Oklahoma,82,3.5,1.06,0.87,0.87,0.87,1,,7.06,-3.14,5,1.34,1,3.5
11/08/2013,Georgetown,75,Oregon,82,4,4.34,4.05,4.05,4.05,1,,10.65,6,3,5.44,2,-1.5
11/08/2013,Nevada,78,Pacific,80,6.5,3.19,4.53,4.53,4.53,0,,4.06,3.55,5,5.34,-1,3.5
11/08/2013,UNLV,67,Portland St.,48,17,26.02,21.85,21.85,21.85,0,,29.5,24.56,20,22.37,26,28
11/08/2013,Saint Louis,87,SE Missouri St.,64,24.5,20.82,16.09,16.09,16.09,0,,27.81,22.79,22,21.77,20,19
11/08/2013,Arkansas,99,SIU-Edwardsville,65,22.5,22.76,23.95,23.95,23.95,0,,25.93,22.67,23,22.59,21,23
11/08/2013,Old Dominion,67,SW Missouri St.,79,-2,-1.58,-3.04,-3.04,-3.04,0,,0.71,-1.51,1,1.75,2,-4.5
