date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,linesaggm,linemoore,lineopen,linedok,linefox,std,linepugh,linedonc,neutral,linetalis,lineespn,linepir,linepiw,linepib,line7ot,lineer,linedd,linemassey,linedunk,lineround,lineteamrnks
11/6/2018,SIU Edwardsville,65,Pacific,74,-7.5,-5.82,-8.22,-8.22,-8.22,-8.22,-1.09,-7,-4,-4,2.47,-7.82,-3.7,0,-5.8,-2.54,,,,-2,-6.14,,-4.72,-9.39,,-5.2
11/6/2018,SW Missouri St.,84,Oral Roberts,50,7,9.89,7.58,7.58,7.58,7.58,11.47,6,8.73,7,2.35,12,10,0,13.3,10.34,,,,7,8.43,,10.3,14.5,,11.9
11/6/2018,Saint Louis,75,SE Missouri St.,65,20.5,15.06,16.91,16.91,16.91,16.91,27.68,19,13.46,12,4.46,11.12,10.1,0,11.7,14,,,,10,17.99,,9.53,14.51,,16.2
11/6/2018,San Diego,83,Weber St.,66,5,4.69,3.97,3.97,3.97,3.97,5.64,4,2.91,7,1.27,5,4.3,0,4.3,3.03,,,,6,5.71,,3.86,6.78,,6
11/6/2018,Syracuse,66,Eastern Washington,34,17.5,17.23,19.74,19.74,19.74,19.74,21.52,18,15.77,16,2.42,15.28,13.8,0,15.2,15.09,,,,9,16.92,,14.56,16.54,,18.8
11/6/2018,Temple,75,La Salle,67,8,9.14,10.47,10.47,10.47,10.47,7.69,10,7.99,6,1.86,7.87,9.4,0,8.5,11.61,,,,5,6.14,,8.79,8.76,,12.4
11/6/2018,Texas,71,Eastern Illinois,59,23,22.25,22.11,22.11,22.11,22.11,34.67,25,18.67,20,4.35,22.56,15.9,0,21.1,17.83,,,,15,21.23,,21.72,27.4,,24.2
11/6/2018,UAB,75,Mercer,67,7.5,6.86,4.98,4.98,4.98,4.98,8.38,7.5,6.14,5,1.77,7.65,7.9,0,5.4,7.9,,,,5,9.23,,7.06,8.09,,10.2
11/6/2018,UC Davis,42,San Francisco,76,2,1.25,-1.8,-1.8,-1.8,-1.8,-4.54,2,1.94,4,3.03,1.6,3.4,0,4.6,-0.56,,,,1,2.71,,3.5,4.43,,4.9
11/6/2018,UC Irvine,86,Idaho,68,15,7.91,10.28,10.28,10.28,10.28,17.19,10.5,5.96,4,5.29,2.9,2.2,0,3.4,12.61,,,,6,11.65,,3.47,-0.97,,15.1
11/6/2018,UCLA,96,IPFW,71,13.5,15.22,16.84,16.84,16.84,16.84,19.02,13.5,16.16,13,3.23,16.61,13.6,0,14.2,5.05,,,,9,15.85,,15.73,17.4,,14.3
11/6/2018,Virginia,73,Towson,42,25.5,24.93,27.86,27.86,27.86,27.86,31.19,25,18.61,25,4.1,23.42,19.9,0,23.3,17.94,,,,16,24.02,,23.78,31.23,,24.1
11/6/2018,Washington,73,Western Kentucky,55,,2.31,5.34,5.34,5.34,5.34,4.66,5,3.17,-2,3.46,0.3,3.2,0,-1.4,0.83,,,,2,6.54,,-0.68,-5.17,,3.9
11/6/2018,Western Michigan,89,Detroit,76,11.5,12.57,12.39,12.39,12.39,12.39,20.69,12.5,9.65,12,3.15,13.11,10.8,0,11.5,8.99,,,,8,11.84,,10.78,18.87,,10.8
11/6/2018,Wichita St.,58,Louisiana Tech,71,9.5,12.31,9.01,9.01,9.01,9.01,1.75,10.5,14.37,19,5.36,16.27,13.5,0,17.2,7.75,,,,11,10.67,,14.49,23.44,,10.2
11/6/2018,Wofford,67,North Carolina,78,,-12.31,-13.36,-13.36,-13.36,-13.36,-7.42,-10,-14.24,-11,2.58,-16.68,-9.8,0,-14,-7.67,,,,-3,-13.16,,-12.48,-14.5,,-10.2
11/6/2018,Wyoming,66,UC Santa Barbara,76,-75.5,6.03,7.42,7.42,7.42,7.42,11.25,7.5,6.28,5,2.39,7.33,5.7,0,4.8,1.64,,,,4,3.62,,6.02,6.95,,2.2
11/6/2018,Xavier,82,IUPUI,69,18,23.39,20.94,20.94,20.94,20.94,24.03,20.5,21.55,27,5.96,28.61,19.2,0,29.4,10.59,,,,20,22.81,,27.41,36.86,,19.6
11/7/2018,Arizona,90,Houston Baptist,60,21.5,26.84,26.11,24.6,26.21,26.1,16.09,22,26.99,31,7.87,32.56,23.6,0,34.6,14.3,,,,0,20.38,,32.63,45.9,,21.5
