date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,neutral,linepom,linemoore,linegreen,lineopen,linedok,linedunk,linefox,linerpi,lineash
11/06/2007,Kentucky,67,Central Arkansas,40,27,29.88,28.93,28.93,28.93,0,,31.35,,28,26.1,31.99,32,,
11/06/2007,Tennessee-Martin,66,Maine,62,1.5,-2.15,-2.75,-2.75,-2.75,1,,-2.08,,3,-0.5,-2.8,-2,,
11/06/2007,Memphis,80,Richmond,63,29,27.42,24.47,24.47,24.47,0,,33.78,,29,21.3,28.5,32,,
11/07/2007,Central Arkansas,69,Alabama A&M,59,3,8.57,7.91,7.91,7.91,0,,9.82,,4,4.4,8.37,13,,
11/07/2007,Kentucky,68,Gardner Webb,84,25.5,29.54,28.15,28.15,28.15,0,,38.69,,25.5,23.62,28.61,30,,
11/07/2007,Connecticut,69,Morgan St.,65,26,30.27,30.71,30.71,30.71,0,,32.83,,26,24.1,37.3,26,,
11/08/2007,Connecticut,82,Buffalo,57,17.5,17.42,18.46,18.46,18.46,0,,20.47,,15.5,13.72,13.4,20,,
11/08/2007,Oklahoma,71,San Francisco,55,16,16.26,14.55,14.55,14.55,0,,25.02,,16,11.65,14.79,17,,
11/09/2007,Tulane,77,Auburn,62,2.5,-2.61,-3.08,-3.08,-3.08,0,,-3.87,,0,-1.37,-7.25,3,,
11/09/2007,Cincinnati,75,Belmont,86,8.5,9.43,10.72,10.72,10.72,0,,7.74,,8,8.13,13.25,6,,
11/09/2007,Eastern Michigan,55,Brown,74,5,7.09,5.45,5.45,5.45,0,,8.98,,5.5,5.59,10.08,7,,
11/09/2007,Ball St.,45,Butler,61,-10.5,-9.76,-8.13,-8.13,-8.13,0,,-12.23,,-10.5,-5.86,-11.2,-13,,
11/09/2007,Kansas St.,94,CS Sacramento,63,21.5,23.06,19.33,19.33,19.33,0,,29.15,,22,18.13,25.4,27,,
11/09/2007,South Florida,70,Cleveland St.,73,8,12.46,10.05,10.05,10.05,0,,18.53,,8,8.59,14.54,13,,
11/09/2007,Montana,75,Colorado St.,39,7.5,0.81,0.97,0.97,0.97,0,,4.93,,6.5,1.42,-4.42,1,,
11/09/2007,Air Force,67,Dartmouth,38,15.5,24.06,24.74,24.74,24.74,0,,21,,15.5,22.06,28.79,23,,
11/09/2007,Creighton,74,DePaul,62,3,3.21,5.74,5.74,5.74,0,,-3.45,,3,5.33,-1.1,7,,
11/09/2007,Oklahoma,80,Denver,50,25.5,27.77,22.65,22.65,22.65,0,,41.13,,24.5,19.27,29.95,31,,
11/09/2007,Pennsylvania,59,Drexel,67,-3,2.61,4.73,4.73,4.73,0,,3.31,,-3,2.74,-4.85,5,,
11/09/2007,Washington St.,68,Eastern Washington,41,25,20.82,14.83,14.83,14.83,0,,33.67,,25.5,15.03,20.58,26,,
11/09/2007,Virginia Tech,69,Elon,64,18,22.63,21.77,21.77,21.77,0,,23.18,,17.5,19.41,29.67,20,,
11/09/2007,Wake Forest,85,Fairfield,60,14,12.67,15.33,15.33,15.33,0,,10.28,,13,13.95,9.14,12,,
11/09/2007,Rhode Island,90,Florida Atlantic,63,13.5,14.03,11.25,11.25,11.25,0,,16.46,,14,9.96,18.23,17,,
11/09/2007,Columbia,61,Fordham,79,-5,-3.09,-2.74,-2.74,-2.74,0,,-4.66,,-4.5,-1.81,-5.58,-1,,
11/09/2007,Stanford,111,Harvard,56,23,22.96,19.49,19.49,19.49,0,,30.04,,23,18.7,28.05,22,,
11/09/2007,Iowa,58,Idaho St.,43,13.5,17.94,16.63,16.63,16.63,0,,23.36,,13,15.8,15.19,20,,
11/09/2007,Georgia,107,Jacksonville St.,65,20.5,22.99,19.19,19.19,19.19,0,,26.72,,21,18.12,28.7,26,,
11/09/2007,San Diego St.,62,Liberty,50,7.5,15.53,14.49,14.49,14.49,1,,18.15,,7,14.17,19.91,12,,
11/09/2007,Kansas,107,Louisiana-Monroe,78,26.5,30.63,29.87,29.87,29.87,0,,34.23,,27,24.75,32.07,33,,
11/09/2007,UC Irvine,74,Loyola Marymount,61,9,7.71,4.41,4.41,4.41,0,,12.99,,9.5,4.34,13.09,7,,
11/09/2007,Towson,83,Loyola-Maryland,69,-3,4.97,3.81,3.81,3.81,0,,5.07,,-1.5,6.29,3.83,7,,
11/09/2007,Cal Poly SLO,64,Massachusetts,90,-5,-8.1,-9.4,-9.4,-9.4,1,,-4.55,,-5.5,-7.46,-10.76,-7,,
11/09/2007,UNLV,76,Montana St.,65,18,22.14,19.84,19.84,19.84,0,,24.73,,18.5,18.25,24.15,26,,
11/09/2007,Houston,83,Morehead St.,54,22,20.58,19.59,19.59,19.59,0,,25.84,,22.5,16.43,18.02,24,,
11/09/2007,Georgia Tech,74,NC Greensboro,83,16.5,21.28,24.45,24.45,24.45,0,,23.43,,17,17.06,20.27,18,,
11/09/2007,Colorado,47,New Mexico,54,-1,1.76,1.58,1.58,1.58,0,,2.26,,-2,2.68,1.48,1,,
11/09/2007,Ohio,80,New Mexico St.,72,3.5,2.32,5.86,5.86,5.86,0,,-0.85,,3,4.3,-1.27,0.01,,
11/09/2007,Northern Iowa,75,Northern Illinois,45,14,16.75,14.52,14.52,14.52,0,,16.25,,14,14.06,24.12,17,,
