date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,neutral,linepom,linemoore,linegreen,lineopen,linedok,linedunk,linefox,linerpi,lineash
11/08/2006,Michigan St.,45,Brown,34,17.5,19.93,24.21,24.21,24.21,0,,21.85,,18,,22.2,,,
11/08/2006,Youngstown St.,74,Central Michigan,50,-2,0.22,-0.53,-0.53,-0.53,1,,0.89,,-1,,0.5,,,
11/08/2006,New Orleans,73,Hampton,74,6.5,3.12,3.84,3.84,3.84,1,,5.09,,7,,1.92,,,
11/08/2006,Maryland,81,Vermont,63,13,14.02,14.7,14.7,14.7,0,,17.1,,13,,19.36,,,
11/09/2006,Texas,103,Alcorn St.,44,29,28.07,35.13,35.13,35.13,0,,26.94,,34.5,30.13,36.8,,,
11/09/2006,Central Michigan,71,Brown,58,-2,-2.06,-1.04,-1.04,-1.04,1,,-2.6,,-3,-2.02,-5.69,,,
11/09/2006,St. Bonaventure,95,Chicago St.,98,5,-1.32,-1.12,-1.12,-1.12,1,,-4.09,,0,-0.81,-0.8,,,
11/09/2006,Michigan St.,86,Youngstown St.,61,14,18.15,25.78,25.78,25.78,0,,19.27,,15.5,17.18,16.61,,,
11/10/2006,IUPUI,86,Alabama A&M,47,9.5,7.91,8.72,8.72,8.72,1,,12.06,,8,8.03,9.9,,,
11/10/2006,Canisius,69,Buffalo,72,2,-1.35,-2.58,-2.58,-2.58,0,,-2.76,,2,-1.78,-2.7,,,
11/10/2006,Tulane,37,Butler,77,-2,-2.07,-4.84,-4.84,-4.84,0,,2.11,,-2.5,-5.67,-3.5,,,
11/10/2006,Iowa St.,69,Cal Riverside,61,17,20.32,21.73,21.73,21.73,0,,38.14,,16.5,18.19,17.8,,,
11/10/2006,Texas,92,Chicago St.,66,27,21.34,26.88,26.88,26.88,0,,15.5,,25,28.88,25.59,,,
11/10/2006,Arkansas St.,44,Clemson,83,-12.5,-11.18,-9.97,-9.97,-9.97,1,,-22.09,,-13,-10.92,-14.1,,,
11/10/2006,Northwestern,61,Cornell,64,10,12.01,13.57,13.57,13.57,0,,14.52,,11,12.6,13.5,,,
11/10/2006,Colorado,78,Denver,64,9.5,10.69,11.21,11.21,11.21,0,,10.96,,10,12.05,14.4,,,
11/10/2006,Davidson,81,Eastern Michigan,77,5,8.44,13.08,13.08,13.08,0,,7.46,,7,4,8.7,,,
11/10/2006,Gonzaga,90,Eastern Washington,75,10,14.83,18.96,18.96,18.96,0,,21.04,,13,13,12.7,,,
11/10/2006,Georgia Tech,83,Elon,49,20,15.47,20.27,20.27,20.27,0,,19.25,,19,11.61,17.1,,,
11/10/2006,Oklahoma St.,95,Florida Atlantic,50,26,20.28,24.22,24.22,24.22,0,,30.21,,25.5,15,23.7,,,
11/10/2006,UNLV,73,Hawaii,59,8,7.11,5.67,5.67,5.67,0,,13.79,,9,5.84,7.4,,,
11/10/2006,Oregon,77,Lehigh,65,18,14.93,15.18,15.18,15.18,0,,23.11,,18.5,11.91,19.9,,,
11/10/2006,Eastern Illinois,60,Louisiana-Monroe,70,1,-0.78,0.49,0.49,0.49,1,,0.18,,0,-3.62,-2.2,,,
11/10/2006,Princeton,57,Loyola-Chicago,68,-4.5,-3.92,-2.54,-2.54,-2.54,1,,-5.23,,-4.5,-8.02,-5.2,,,
11/10/2006,Tennessee,83,Middle Tenn St.,52,15.5,13.3,14.2,14.2,14.2,0,,13.69,,15,16.01,17.4,,,
11/10/2006,Old Dominion,54,Monmouth,40,11,12.15,13.79,13.79,13.79,0,,14.82,,10.5,12.81,13.4,,,
11/10/2006,Penn St.,63,Morehead St.,46,16.5,18.14,17.08,17.08,17.08,0,,32.27,,17.5,18.49,19.6,,,
11/10/2006,San Diego St.,87,Murray St.,84,8,7.39,4.87,4.87,4.87,0,,21.28,,6.5,2.9,6.1,,,
11/10/2006,Loyola-Maryland,61,Navy,73,6,6.26,3.83,3.83,3.83,1,,8.27,,8,11.33,10.3,,,
11/10/2006,St. John's,74,North Florida,53,26,23.6,25.61,25.61,25.61,0,,38.78,,26.5,18.28,29,,,
11/10/2006,Oregon St.,65,Portland,48,10,8.01,7.92,7.92,7.92,0,,9.96,,7,8.96,9,,,
11/10/2006,CS Northridge,90,Portland St.,65,-2,-2.94,-0.39,-0.39,-0.39,1,,-6.66,,-2.5,-6.91,-3.3,,,
11/10/2006,Cal Poly SLO,69,SE Louisiana,76,4,0.06,-0.91,-0.91,-0.91,0,,4.18,,1,-3.99,-2.3,,,
11/10/2006,Arkansas,92,SE Missouri St.,52,22.5,22.06,22.23,22.23,22.23,0,,29.83,,24,26.08,27.7,,,
11/10/2006,Florida,79,Samford,54,25,22.83,23.33,23.33,23.33,0,,35.1,,26.5,19.2,31.7,,,
11/10/2006,UC Santa Barbara,75,San Jose St.,67,8,7.15,9.14,9.14,9.14,0,,7.51,,8,6.63,6.2,,,
11/10/2006,UC Irvine,63,South Alabama,67,-3.5,-1.4,-0.56,-0.56,-0.56,1,,-2.27,,-6,1.17,-6.2,,,
