date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,neutral,linemoore,lineopen,linedok,linedunk,linefox,linerpi,lineash
11/09/2009,Syracuse,75,Albany-NY,43,22,23.26,20.25,20.25,20.25,0,,20,21.78,24,30,,
11/09/2009,Ohio St.,100,Alcorn St.,60,37,37.77,35.95,35.95,35.95,0,,35,35.26,40.7,41,,
11/09/2009,North Carolina,88,Florida International,72,30,34.39,32.97,32.97,32.97,0,,30,33.48,33.52,39,,
11/09/2009,California,75,Murray St.,70,13.5,14.87,13.44,13.44,13.44,0,,15,14,18.46,15,,
11/11/2009,California,95,Detroit,61,18,19.75,19.48,19.84,19.11,0,22.91,19,18.56,17.09,21,,
11/11/2009,North Carolina,89,NC Central,42,46,45.74,40.24,40.41,40.07,0,48.11,43,43.72,52.12,50,,
11/11/2009,Syracuse,100,Robert Morris,60,18,20.52,19.64,19.65,19.61,0,18.79,17,20.11,23.93,21,,
11/12/2009,North Carolina St.,69,Georgia St.,53,10,15.85,16.56,16.55,16.54,0,14.2,10.5,15.63,14.19,18,,
11/12/2009,Ohio St.,72,James Madison,44,17.5,20.36,21.52,21.21,21.81,0,21.79,19,20.55,19.82,17,,
11/13/2009,Mississippi,92,Arkansas-Little Rock,64,15.5,13.12,12.22,12.22,12.22,0,19.62,13,12.02,11.62,11,,
11/13/2009,Tennessee,83,Austin Peay,54,24,20.69,18.38,18.38,18.38,0,28.18,23,19.33,17.87,22,,
11/13/2009,Portland St.,67,Belmont,74,5.5,2.19,-0.16,-0.15,-0.16,1,9.19,5.5,-0.66,6.93,-2,,
11/13/2009,BYU,70,Bradley,60,13,11.37,10.42,10.41,10.42,0,15.23,12,9.95,10.24,12,,
11/13/2009,Purdue,89,CS Northridge,64,22,17.36,15.4,15.4,15.41,0,23.34,22,16.11,15.89,18,,
11/13/2009,Rice,81,CS Sacramento,51,15.5,18.04,11.95,11.95,11.95,0,25.03,15,13.73,23.58,22,,
11/13/2009,San Francisco,73,Cal Poly SLO,62,11.5,7.76,6.54,6.54,6.54,0,14.2,9,5.14,6.14,8,,
11/13/2009,UC Davis,73,Colorado St.,91,1,-3.93,-6.73,-6.73,-6.73,1,0.05,-4,-6.16,-0.02,-4,,
11/13/2009,Boston College,89,Dartmouth,58,21,23.06,24.37,24.36,24.37,0,28.3,20,22.81,17.49,21,,
11/13/2009,St. Joseph's PA,77,Drexel,67,6,7.96,10.6,10.6,10.6,0,7.7,8,8.7,0.16,10,,
11/13/2009,Tulane,58,Georgetown,74,-9.5,-6.76,-11.84,-11.84,-11.85,0,-5.75,-13,-10.47,0.33,-1,,
11/13/2009,Kansas,101,Hofstra,65,26.5,24.08,23.6,23.6,23.61,0,28.04,27,23.58,21.65,24,,
11/13/2009,Utah,87,Idaho,94,11,16.84,17.7,17.71,17.71,0,18.3,15,16.45,14.89,16,,
11/13/2009,Iowa St.,88,Idaho St.,68,14,10.97,12.02,12.02,12.03,0,13.27,12,11.16,7.34,10,,
11/13/2009,LSU,82,Louisiana-Monroe,62,17,22.06,21.95,21.94,21.95,0,19.51,22,21.62,22.35,25,,
11/13/2009,Boise St.,90,Loyola Marymount,87,9,11.82,11.55,11.55,11.56,1,12.04,12,11.05,13.7,11,,
11/13/2009,Kansas St.,92,Loyola-Chicago,54,21.5,18.95,16.47,16.46,16.47,0,25.27,18,17.21,19.3,19,,
11/13/2009,Central Florida,84,Massachusetts,67,3,3.71,1.59,1.59,1.59,0,6.84,1.5,1.6,7.64,3,,
11/13/2009,Towson,82,Miami-Ohio,71,-1,-2.5,-6.01,-6,-6.01,0,3.04,-3,-5.2,1.14,-2,,
11/13/2009,Kentucky,75,Morehead St.,59,20.5,16.27,21.16,21.15,21.16,0,14.63,26,18.79,8.9,13,,
11/13/2009,Duke,96,NC Greensboro,62,31,31.53,28.79,28.79,28.8,0,33.98,33,29.03,37.58,31,,
11/13/2009,Appalachian St.,79,NC Wilmington,68,11,8.65,6.14,6.14,6.14,0,12.8,7,6.93,6.92,13,,
11/13/2009,Georgia,67,New Orleans,59,15.5,12.64,12.38,12.38,12.38,0,15.56,15,12.58,10.93,12,,
11/13/2009,Auburn,69,Niagara,65,6,8.65,6.57,6.57,6.58,0,4.49,8,6.78,16.48,11,,
11/13/2009,Northwestern,77,Northern Illinois,55,13,16.65,14.75,14.75,14.75,0,19.8,14,15.9,16.7,18,,
11/13/2009,Denver,65,Northern Iowa,71,-5,-7.44,-7.02,-7.02,-7.02,0,-7.98,-5,-7.83,-9.76,-5,,
11/13/2009,Pepperdine,64,Pacific,67,-3.5,-5.29,-4.59,-4.59,-4.59,0,0,-3,-7.07,-9.5,-6,,
11/13/2009,Penn St.,70,Pennsylvania,55,15,18.54,13.32,13.32,13.33,0,26.58,12.5,15.47,18.56,24,,
11/13/2009,Mississippi St.,74,Rider,88,16,16.35,15.11,15.1,15.11,0,11.17,15.5,14.83,21.88,20,,
11/13/2009,Kent St.,69,Samford,66,11,13.13,15.42,15.42,15.42,0,6.13,11,14.77,15.03,12,,
11/13/2009,Tennessee St.,69,Siena,85,-14,-12.04,-8.24,-8.24,-8.25,0,-26.6,-10.5,-9.89,-9.23,-10,,
11/13/2009,SMU,61,South Florida,67,-1,-1.39,-1.77,-1.78,-1.78,0,-1.44,0,-1.58,-4.78,3,,
11/13/2009,Seton Hall,53,St. Peter's,51,18,18.22,17.13,17.13,17.14,0,17.92,18,16.63,21.52,19,,
11/13/2009,San Diego,77,Stanford,64,0,-5.36,-6.39,-6.39,-6.4,0,-1.37,-4,-5.89,-4.11,-8,,
11/13/2009,Minnesota,87,Tennessee Tech,50,21.5,20.26,16.26,16.27,16.27,0,26.88,19,16.34,25.8,20,,
11/13/2009,Weber St.,60,Utah St.,66,-3,-2.98,-3.63,-3.63,-3.64,0,-3.46,-2,-2.65,-4.49,0.01,,
11/13/2009,Ball St.,88,Valparaiso,78,1.5,-0.1,0.81,0.81,0.82,0,-4.45,2,-0.25,-1.54,4,,
11/13/2009,Connecticut,75,William & Mary,66,24.5,27.21,25.5,25.5,25.51,0,27.27,25,24.46,26.51,34,,
11/13/2009,UAB,68,Wisconsin-Green Bay,56,2,4.03,5.3,5.29,5.3,1,-1.24,2.5,4.27,6.53,4,,
11/13/2009,Pittsburgh,63,Wofford,60,17.5,23.63,25.83,25.83,25.84,0,15.82,20,27.04,22.27,25,,
11/13/2009,Washington,74,Wright St.,69,15,14.92,12.85,12.85,12.84,0,14.82,15,13.28,19.71,16,,
11/13/2009,Xavier,83,Youngstown St.,57,18,20.78,22.35,22.34,22.35,0,15.27,20,21.49,22.25,21,,
11/14/2009,Washington,96,Belmont,78,21,17.7,14.09,14.05,14.12,0,32.94,21,14.38,12.69,18,,
11/14/2009,Montana,95,Boise St.,82,3,2.8,1.61,1.35,1.86,0,1.16,4.5,4.27,1.15,7,,
11/14/2009,New Mexico,67,Cal Riverside,51,16,21.04,20.12,20.27,19.69,0,24.02,20,19.84,21.42,21,,
11/14/2009,Winston Salem,40,Colorado St.,57,,-16.51,-13.66,-13.32,-14.03,1,-14.75,,-16.91,-22.05,-18,,
11/14/2009,Alabama,67,Cornell,71,7,8.37,10.25,10.3,10.08,0,7.31,10,8.05,6.46,8,,
11/14/2009,Dayton,90,Creighton,80,8,3.91,2.23,2.2,2.27,0,6.78,3,1.19,4.02,7,,
11/14/2009,Butler,73,Davidson,62,14,8.45,5.56,5.59,5.53,0,16.03,12,4.87,13.67,5,,
11/14/2009,Toledo,62,Eastern Illinois,72,3,5.39,9.44,9.5,9.3,0,1.31,8,7.34,-0.11,5,,
11/14/2009,Rutgers,74,Marist,67,17,11.99,6.49,6.52,6.43,0,21.31,13,6.24,17.41,14,,
11/14/2009,Nevada,75,Montana St.,61,13,15.14,14.83,14.94,14.55,0,14.8,14,15.75,11.8,19,,
11/14/2009,Eastern Washington,58,Portland,64,-5,-2.95,1.32,1.29,1.39,0,-12.09,-5,-0.61,-2.66,-5,,
11/14/2009,Wright St.,75,Portland St.,70,5,4.85,2.06,2.02,2.1,1,8.93,5.5,3.57,6.49,6,,
11/14/2009,Central Michigan,68,Princeton,71,6,6.82,6.27,6.29,6.2,0,4.54,7,6.33,8.58,9,,
11/14/2009,Saint Louis,59,SE Missouri St.,41,19,22.12,18.56,18.72,18.19,0,31.35,17,20.82,22.64,21,,
11/14/2009,Wisconsin-Green Bay,70,Samford,68,4,8.15,9.12,9.17,9.06,1,10.27,4,6.83,7.59,6,,
11/14/2009,Rice,71,South Alabama,69,5.5,2.03,-2.43,-2.58,-2.28,0,11.87,4,0.36,1.8,3,,
11/14/2009,Louisiana-Lafayette,72,Southern Miss,79,2.5,-1.06,-1.35,-1.39,-1.2,0,1.79,2,-2.95,0.41,-3,,
11/14/2009,Delaware,56,Temple,76,-7,-7.98,-8.6,-8.73,-8.27,0,-5.77,-3.5,-10.13,-6.99,-8,,
11/14/2009,Southern Illinois,91,Tennessee-Martin,63,15,8.41,13.6,13.69,13.34,0,3.15,17,9.58,9.72,1,,
11/14/2009,Kent St.,72,UAB,65,3,-2.28,0.32,0.44,0.18,0,-2.9,2.5,-2.16,-7.26,-2,,
11/14/2009,Oregon,95,UC Davis,64,16.5,18.15,18.53,18.17,18.89,0,16.86,16,19.09,19.87,16,,
11/15/2009,Akron,77,Austin Peay,80,13,12.84,10.36,10.4,10.28,0,16.01,9,13.27,13.08,14,,
11/15/2009,Wright St.,82,Belmont,73,6.5,5.01,1.65,1.48,1.83,1,16.26,6.5,2.38,4.13,4,,
11/15/2009,Virginia Tech,69,Brown,55,21.5,21.93,17.83,17.93,17.69,0,27.74,19,20.67,21.57,26,,
11/15/2009,South Alabama,70,CS Sacramento,58,12,15.44,13.92,13.37,14.5,1,13.43,14,13.42,17.89,20,,
11/15/2009,Stanford,70,Cal Poly SLO,53,18.5,21.21,21.19,21.17,21.21,0,23.73,16,19.33,18.83,23,,
11/15/2009,Oregon,68,Colorado St.,55,16.5,12.97,11.35,10.77,11.97,0,18.56,15,14.54,11,11,,
11/15/2009,George Mason,60,Dartmouth,44,19.5,18.86,21.68,21.63,21.74,0,13.86,23,21.83,18.13,16,,
11/15/2009,Tulsa,81,Florida International,49,23.5,20.38,16.29,16.62,15.92,0,24.09,18,18.16,27.51,20,,
11/15/2009,Fairfield,63,Fordham,55,12.5,12.05,7.95,8.1,7.8,0,17.37,15.5,10.53,13.48,15,,
11/15/2009,NC Wilmington,71,George Washington,76,-2.5,-3.55,-0.74,-0.85,-0.67,0,-5.31,-6,-5.18,-4.31,-5,,
11/15/2009,Bradley,74,Idaho St.,69,12,13.15,13.18,13.06,13.29,0,13.54,13.5,14.51,10.48,14,,
11/15/2009,Montana,64,Loyola Marymount,63,8.5,13.58,12.86,13.15,12.59,0,13.3,6.5,14.48,12.97,15,,
11/15/2009,West Virginia,83,Loyola-Maryland,60,26,22.82,21.6,21.96,21.14,0,25.02,24,20.09,23.73,25,,
11/15/2009,Ohio,81,Middle Tenn St.,68,6,6.35,7.02,7.07,6.91,0,7.48,4,6.88,2.78,7,,
11/15/2009,Arizona,87,Northern Arizona,70,17,20.94,19.42,19.73,18.93,0,31.26,18,16.38,20.36,19,,
11/15/2009,Texas Tech,64,Oregon St.,60,9,10.09,10.41,9.93,10.89,0,2.54,9,12.69,12.49,12,,
11/15/2009,Washington,111,Portland St.,55,18,18.48,15.12,15.54,14.71,0,23.73,18,17.42,19.49,20,,
11/15/2009,UAB,55,Samford,52,5,12.27,14.39,14.8,14,1,8.57,6,11.32,13.9,11,,
11/15/2009,Texas,89,UC Irvine,42,27,22.59,21.9,22.28,21.36,0,23.94,24,21.34,24.63,22,,
11/15/2009,North Carolina,88,Valparaiso,77,23.5,27.54,25.8,25.44,26.22,0,26.45,25,29.42,24.71,33,,
11/15/2009,East Carolina,58,Wake Forest,89,-15.5,-13.88,-12.72,-12.67,-12.67,0,-16.08,-9.5,-17.76,-14.07,-10,,
11/15/2009,Detroit,86,Western Michigan,80,4.5,2.83,1.37,1.51,1.18,0,7.88,2,-1.38,4.76,3,,
11/15/2009,Harvard,87,William & Mary,85,4,1.78,1.31,1.44,1.16,0,1.34,0,0.14,-0.41,7,,
11/15/2009,UC Davis,99,Winston Salem,79,,12.43,10.55,10.24,10.9,0,18.51,,5.22,12.7,17,,
11/15/2009,Kent St.,86,Wisconsin-Green Bay,87,7.5,4.02,6.54,6.81,6.27,0,-1.26,5,6.17,1.11,5,,
11/16/2009,SW Missouri St.,73,Auburn,62,-4.5,-2.99,0.3,0.36,0.3,0,-7.97,-5.5,-0.19,-1.47,-9,,
11/16/2009,TCU,83,CS Northridge,65,3,-1.78,-2.19,-2.18,-2.11,1,-1.25,2,-3.14,3.03,-5,,
11/16/2009,Duke,74,Coastal Carolina,49,28,28.66,29.83,29.67,29.99,0,31.37,28,26.55,26.36,28,,
11/16/2009,Connecticut,77,Colgate,63,27,31.65,30.91,31.09,30.57,0,34.81,27,27.32,31.12,35,,
11/16/2009,Washington St.,67,Eastern Washington,61,16.5,20.9,19.91,19.91,19.91,0,21.28,16,20.45,18.83,25,,
11/16/2009,NC Charlotte,75,Elon,61,11,8.83,10.01,9.89,10.12,1,10.06,11,9.01,6.93,7,,
11/16/2009,South Carolina,90,Georgia Southern,66,19.5,21.36,17.67,17.55,17.66,0,31.58,17,18.08,18.28,25,,
11/16/2009,LSU,56,Indiana St.,45,11,14.01,15.64,15.56,15.62,0,10.06,11,14.81,11.03,17,,
11/16/2009,Kentucky,72,Miami-Ohio,70,18.5,15.07,10.51,10.53,10.48,0,20.24,18.5,12.74,21.42,15,,
11/16/2009,Villanova,103,Pennsylvania,65,23.5,24.6,22.19,22.11,22.26,0,31.02,23,22.49,21.7,28,,
11/16/2009,Pacific,56,San Diego,55,2,4.34,4.84,4.98,4.7,0,-1.18,2,1.11,8.41,8,,
11/16/2009,SMU,68,Texas A&M,80,-6.5,-8.79,-11.04,-11.55,-10.55,0,-8.98,-7,-6.74,-7.92,-7,,
11/16/2009,Arizona St.,84,Texas St.,62,24.5,25.41,22.66,22.52,22.68,0,34.99,24.5,22.79,27.49,22,,
11/16/2009,South Florida,66,Virginia,49,3.5,1.12,0.49,0.58,0.39,0,-1.07,2.5,1.21,2.63,3,,
11/16/2009,Western Kentucky,69,Wisconsin-Milwaukee,65,7.5,6.61,5.64,5.78,5.44,1,6.26,3.5,7.77,6.38,8,,
11/16/2009,Hofstra,68,Yale,63,8,7.65,9.03,9.26,8.8,0,14.45,6,3.23,3.14,7,,
11/17/2009,Tulsa,59,Arkansas-Little Rock,45,17,15.64,11.72,11.38,12.06,0,23.01,15.5,14.42,17.97,15,,
11/17/2009,Pittsburgh,71,Binghamton,46,33.5,23.17,25.01,25.37,24.57,0,16.13,33.5,24.01,22.95,26,,
11/17/2009,Xavier,101,Bowling Green,57,16.5,19.4,20.58,20.52,20.55,0,19.12,15.5,19.51,17.69,19,,
11/17/2009,USC,77,Cal Riverside,67,9.5,19.59,22.04,22.63,21.54,0,18.24,15,21.94,10.18,23,,
11/17/2009,Loyola-Chicago,89,Canisius,69,-2.5,4.86,10.59,11.06,9.99,0,-4.76,3,4.75,2.15,6,,
11/17/2009,Elon,46,Coastal Carolina,69,-2,3.18,4.2,4.14,4.26,0,3.66,-2,-0.96,0.99,7,,
11/17/2009,Yale,65,Colgate,55,-1.5,2.39,2.54,2.22,2.86,1,-0.05,-1.5,1.5,4.81,3,,
11/17/2009,DePaul,59,Columbia,53,11,12.5,14.83,15.27,14.36,0,8.81,12,13.16,12.38,11,,
11/17/2009,Iowa,50,Duquesne,52,-1.5,0.23,6.33,6.41,6.23,0,-7.44,2,1.47,-3.29,-2,,
11/17/2009,Maryland,71,Fairfield,42,19,18.88,16.31,15.9,16.72,0,21.88,16,16.79,20.98,21,,
11/17/2009,Northern Arizona,59,Fresno St.,65,3,3.66,3.54,3.5,3.5,0,-2.55,0,8.02,-0.52,10,,
11/17/2009,Michigan St.,75,Gonzaga,71,10.5,9.19,5.54,5.28,5.82,0,16.6,10.5,7.51,11.95,8,,
11/17/2009,Connecticut,76,Hofstra,67,17,22.93,20.17,19.88,20.49,0,23.23,20,20.21,26.76,27,,
11/17/2009,BYU,87,Idaho St.,53,19,20.95,19.73,20.09,19.37,0,24.05,24,20.35,22.85,19,,
11/17/2009,Wisconsin-Milwaukee,63,Indiana St.,76,1.5,-0.17,2.03,1.91,2.15,1,0.38,1.5,-0.32,-3.16,-2,,
11/17/2009,Drake,70,Iowa St.,90,-1,1.04,3.87,3.97,3.75,0,-2.1,1.5,0.67,-1.06,1,,
11/17/2009,Pepperdine,58,Long Beach St.,67,-3,-0.15,2.2,2.1,2.21,0,-1.08,1.5,-1.79,-0.34,-2,,
11/17/2009,Oklahoma,72,Louisiana-Monroe,61,22.5,26.49,26.25,26.05,26.46,0,26.9,15.5,25.75,20.78,33,,
11/17/2009,Arkansas,66,Louisville,96,-10.5,-10.08,-9.67,-10.86,-8.63,1,-9.51,-11.5,-6.86,-8.64,-16,,
11/17/2009,Kansas,57,Memphis,55,11.5,3.46,0.96,0.93,0.98,1,9.97,13,0.85,13.01,-5,,
11/17/2009,Marshall,63,Middle Tenn St.,60,9,9.39,5.02,5.06,4.97,0,18.34,5,8.77,7.23,12,,
11/17/2009,Duke,101,NC Charlotte,59,17.5,15.59,14.55,14.1,15.02,1,16.79,20,17.92,17.7,12,,
11/17/2009,Virginia Tech,59,NC Greensboro,46,20,21.74,18.98,18.93,19.04,0,26.71,20,20.67,19.11,26,,
11/17/2009,New Mexico St.,87,New Mexico,97,-3,-3.69,-1.91,-1.75,-2.07,0,-5.35,0,-3.76,-4.21,-5,,
11/17/2009,Siena,59,Northeastern,53,7.5,10.2,8.91,8.84,8.91,0,11.9,8,8.18,10.35,13,,
11/17/2009,Illinois,80,Northern Illinois,61,21.5,23.09,23.35,23.22,23.48,0,23.76,24,23.09,22.96,22,,
11/17/2009,St. Bonaventure,68,St. John's,69,-5.5,-2.07,-2.69,-2.72,-2.68,0,-3.52,-1,-4.14,-3.38,4,,
11/17/2009,Arizona St.,52,TCU,49,12,18.83,13.77,13.16,14.45,0,20.8,11,19.94,20.62,24,,
11/17/2009,Georgetown,46,Temple,45,9.5,9.23,10.71,10.78,10.63,0,10.01,13,8.85,10.09,5,,
11/17/2009,Missouri,83,Tennessee-Martin,68,24,22.12,19.89,20.38,19.49,0,19.86,20,21.01,30,22,,
11/17/2009,Jacksonville St.,62,UAB,87,-5,-10.41,-14.21,-14.71,-13.6,0,-12.59,-10,-7.43,-3.13,-11,,
11/17/2009,UC Santa Barbara,66,Weber St.,57,4.5,3.73,3.69,3.92,3.55,0,3.19,3,5.88,2.83,3,,
11/17/2009,LSU,71,Western Kentucky,60,5,7.29,6.79,6.69,6.89,0,4.56,7,8.47,7.13,10,,
11/17/2009,Georgia,57,Wofford,60,4.5,6.26,11.11,11.48,10.76,0,2.48,12,8.55,3.3,1,,
11/18/2009,SE Missouri St.,49,Arkansas St.,73,-4.5,-3.45,-2.55,-2.39,-2.8,0,-5.12,-6,-5.61,-2.77,-2,,
11/18/2009,Northwestern,54,Butler,67,-5,-1.2,-3.27,-3.47,-3.08,0,-0.53,-3.5,-1.28,-0.83,2,,
11/18/2009,Massachusetts,61,Cornell,74,-2.5,1.65,6.63,6.56,6.7,0,-7.95,0,3.6,0.01,1,,
11/18/2009,Florida,69,Georgia Southern,49,22,27.17,22.92,22.83,23.01,0,33.36,23,24.04,30.78,29,,
11/18/2009,Central Michigan,67,Illinois-Chicago,48,3,-1.68,-2.25,-2.65,-1.96,0,-2.02,0,-1.63,-1.8,0.01,,
11/18/2009,Youngstown St.,61,Kent St.,70,-2.5,-2.05,-5.12,-5.19,-5.05,0,3.26,-3,-3.76,-3.57,2,,
11/18/2009,Princeton,61,Manhattan,54,4.5,2.04,0.32,0.41,0.24,0,5.19,2.5,1.66,-1.29,6,,
11/18/2009,Saint Louis,69,Nebraska,55,-3,-1.52,-2.4,-2.33,-2.47,0,2.31,0,-2.18,-5.43,1,,
11/18/2009,UNLV,88,Nevada,75,6.5,5.07,6.11,6.6,5.76,0,3.28,5.5,5.76,2,7,,
11/18/2009,Brown,57,Rhode Island,78,-8,-9.35,-6.84,-7.03,-6.77,0,-14.01,-9,-8.27,-9,-11,,
11/18/2009,Cincinnati,92,Toledo,68,21.5,18.41,15.21,15.51,14.91,0,26.09,18.5,14.57,21.35,18,,
11/18/2009,Loyola Marymount,78,UC Irvine,84,6,0.65,-2.47,-3.78,-1.27,0,1.18,1,2.29,3.49,2,,
11/18/2009,Utah,68,Utah St.,67,2.5,4.16,4.09,3.82,4.36,0,6.05,3.5,3.22,3.49,4,,
11/18/2009,Western Michigan,83,VA Commonwealth,67,-7,-8.99,-4.71,-4.76,-4.66,0,-18.45,-4.5,-6.95,-10.1,-9,,
11/18/2009,Texas,73,Western Carolina,41,24,26.3,27.05,27.08,26.96,0,23.92,25,24.08,30.76,25,,
11/19/2009,Kansas St.,80,Boston,70,15.5,18.4,18.15,17.98,18.35,0,21.27,15.5,18.42,12.41,22,,
11/19/2009,Pittsburgh,71,Eastern Kentucky,60,17,21.5,24.89,25.3,24.4,0,19.79,15,22.36,14.14,23,,
11/19/2009,Villanova,69,George Mason,68,15,16.46,12.84,12.16,13.52,0,27.23,12.5,11.14,13.72,21,,
11/19/2009,Mississippi,89,Indiana,71,10,10.36,6.06,5.44,6.7,0,15.57,7,7.49,9.99,17,,
11/19/2009,South Carolina,78,La Salle,68,7,10.58,10.66,10.15,11.17,0,8.43,10,10.46,13.27,10,,
11/19/2009,Notre Dame,82,Long Beach St.,62,15.5,17.59,18.07,18.09,18.05,0,17.11,18,14.7,18.57,19,,
11/19/2009,Denver,56,Montana,49,4,2.32,-0.74,-1.41,-0.07,0,7.67,1.5,0.38,1.38,6,,
11/19/2009,Penn St.,69,NC Wilmington,80,13,20.36,15.25,15.76,14.75,0,29.79,9.5,14.4,19.44,28,,
11/19/2009,Ohio St.,73,North Carolina,77,-1.5,-2.81,-2.79,-2.8,-2.78,0,3.46,-5,-5.69,-5.07,-4,,
11/19/2009,Arizona,66,Rice,49,14.5,18.62,19.75,19.66,19.84,0,18.73,17.5,17.6,16.91,19,,
11/19/2009,William & Mary,78,Richmond,71,-5.5,-4.46,-1.4,-1.69,-1.12,0,-6.48,-4,-3.92,-8.53,-5,,
11/19/2009,Virginia,79,Rider,46,4.5,7.09,7.95,7.83,8.08,0,9.99,5,4.85,2.77,9,,
11/19/2009,San Diego St.,86,Santa Clara,53,11.5,12.28,10.49,10.37,10.6,0,7.76,11.5,12.24,18.71,14,,
11/19/2009,Davidson,58,South Florida,65,-2.5,7.19,10.49,10.37,10.62,0,1.08,2,4.08,4.98,12,,
11/19/2009,California,73,Syracuse,95,2,-5.83,-3.74,-3.2,-4.32,1,-3.86,0,-6.5,-7.1,-10,,
11/19/2009,Miami-Florida,74,Tulane,54,10.5,9.25,10.86,10.83,10.88,1,6,12,10.43,8.35,9,,
11/19/2009,Minnesota,76,Utah Valley,51,25.5,20.77,15.11,14.57,15.7,0,26.11,25.5,19.58,26.64,22,,
11/20/2009,Albany-NY,71,Alcorn St.,55,20,21.69,18.98,18.76,19.3,0,27.13,20,22.16,16.81,26,,
11/20/2009,Arkansas,81,Appalachian St.,72,8,13.44,13.3,12.99,13.63,0,15.31,7,14.07,11.64,13,,
11/20/2009,IUPUI,77,Austin Peay,63,4.5,4.22,6.23,6.36,6.11,0,5.46,4.5,2.73,-2.33,7,,
11/20/2009,Iowa,68,Bowling Green,46,10.5,8.19,9.68,9.13,10.24,0,8.5,9.5,11.33,2.91,7,,
11/20/2009,St. John's,79,Brown,76,16.5,16.03,13.33,13.53,13.16,0,23.3,12.5,13.73,16.46,16,,
11/20/2009,Ohio St.,76,California,70,3,4.12,3.27,2.53,4.12,1,5.05,2,5.13,3.91,4,,
11/20/2009,Auburn,74,Central Florida,84,4.5,7.35,7.35,7.33,7.38,0,11.69,8,2.17,-0.49,16,,
11/20/2009,NC Greensboro,67,Clemson,89,-18.5,-18.24,-15.57,-14.91,-16.31,0,-18.66,-15,-20.9,-19.67,-19,,
11/20/2009,Indiana St.,65,Colorado St.,60,8.5,8.37,4.67,4.73,4.62,0,14.75,8.5,5.46,9.67,11,,
11/20/2009,Villanova,71,Dayton,65,5,10.44,10.54,10.52,10.56,0,12.78,4.5,7.39,6.41,15,,
11/20/2009,Northern Iowa,52,DePaul,60,7.5,7.92,3.46,3.53,3.41,1,17.53,6,3.88,9.18,10,,
11/20/2009,Robert Morris,59,Detroit,71,-2.5,4.07,2.62,2.32,2.92,1,5.88,-2.5,1.53,3.74,8,,
11/20/2009,Georgia St.,58,Drake,65,1,-1.51,-4.27,-4.23,-4.31,0,0.77,2,-7.84,0.55,6,,
11/20/2009,Rutgers,58,Drexel,56,6,5.66,4.22,4.7,3.73,0,5.22,6,5.2,7.1,8,,
11/20/2009,Tennessee,105,East Carolina,66,26,27.71,23.1,22.56,23.73,0,33.78,17.5,28.52,27.68,30,,
11/20/2009,Citadel,63,Eastern Michigan,56,-4,-0.11,-3.05,-3.36,-2.74,1,4.27,-3,-4.14,0.31,5,,
11/20/2009,George Mason,62,Georgia Tech,70,-6.5,-5.03,-2.39,-1.75,-3.08,1,-10.7,-5,-3.12,-7.54,-4,,
11/20/2009,Boston,71,Indiana,67,-3,-2.31,-3.72,-4.34,-3.1,0,1.58,-3,-5.74,-6.25,4,,
11/20/2009,Murray St.,71,James Madison,43,6.5,4.02,3.68,3.38,3.98,1,0.89,4,7.03,5.87,3,,
11/20/2009,Davidson,70,La Salle,84,-2,7.07,12.19,11.89,12.49,0,0.15,0,6.3,2.61,9,,
11/20/2009,Miami-Ohio,62,Louisiana Tech,74,1.5,5.87,12.09,11.7,12.48,0,2.49,0,4.21,-2.67,7,,
11/20/2009,SW Missouri St.,70,Md. Eastern Shore,53,22.5,26.92,27.29,27.83,26.8,0,32.35,22.5,25.03,25.52,24,,
11/20/2009,NC Wilmington,60,Miami-Florida,67,-14,-13.61,-9.92,-10.11,-9.72,0,-12.1,-12,-14.85,-20.88,-14,,
11/20/2009,Kansas St.,74,Mississippi,86,-1,5.63,6.6,6.6,6.6,0,5.25,-1.5,1.14,7.19,7,,
11/20/2009,Florida International,83,NC Central,73,15,13.77,8.18,7.44,9.01,0,19.73,15,12.44,18.97,15,,
11/20/2009,New Mexico,83,Nicholls St.,59,20.5,19.19,19.3,19.29,19.36,0,22.51,20.5,20.36,16.6,17,,
11/20/2009,Akron,45,North Carolina St.,66,1,0.8,2.11,1.95,2.27,0,5.43,1.5,-2.13,-4.75,2,,
11/20/2009,Alabama,84,Providence,75,6,5.83,2.96,2.75,3.19,0,13.59,5,2.39,6.05,7,,
11/20/2009,Texas A&M,68,Samford,49,15,17.38,21.54,22.78,20.39,0,19.97,14,15.28,9.88,16,,
11/20/2009,Arizona St.,104,San Francisco,65,16,21.06,17.9,17.39,18.46,0,26.84,15,21.18,14.48,28,,
11/20/2009,Washington,80,San Jose St.,70,21.5,25,22.71,22.52,22.86,0,27.83,23,22.06,26.75,28,,
11/20/2009,Cornell,79,Seton Hall,89,2.5,3.28,0.73,0.7,0.77,0,3.53,2.5,3.91,4.74,6,,
11/20/2009,South Florida,66,South Carolina,69,-5.5,-1.77,0.39,0.77,0.02,0,-0.73,-5.5,-6.19,-5.46,1,,
11/20/2009,Purdue,74,South Dakota St.,63,,22.17,23.2,23.26,23.15,0,28.41,,17.83,16.35,24,,
11/20/2009,Boston College,80,St. Joseph's PA,84,8,7.93,5.46,4.58,6.35,0,14.48,4,4.45,4.71,13,,
11/20/2009,North Carolina,71,Syracuse,87,2,5.45,9.49,10.6,8.48,0,4.48,0,0.55,0.62,8,,
